#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 01 06 02 00  55 15.8 17.8 99.00 99.00 99.00 999 1018.0  22.6  25.2 999.0 99.0 99.00
2016 01 06 03 00  58 13.8 15.9 99.00 99.00 99.00 999 1018.0  22.1  25.1 999.0 99.0 99.00
2016 01 06 04 00  64 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 06 05 00  66 13.1 14.1 99.00 99.00 99.00 999 1018.6  20.5  24.4 999.0 99.0 99.00
2016 01 06 06 00  63 13.8 15.4 99.00 99.00 99.00 999 1017.7  21.6  24.5 999.0 99.0 99.00
2016 01 06 07 00  65 12.9 14.0 99.00 99.00 99.00 999 1016.9  22.2  25.0 999.0 99.0 99.00
2016 01 06 08 00  64 13.2 14.5 99.00 99.00 99.00 999 1017.0  21.5  24.9 999.0 99.0 99.00
2016 01 06 09 00  62 12.6 14.0 99.00 99.00 99.00 999 1016.5  21.2  24.1 999.0 99.0 99.00
2016 01 06 10 00  52 14.2 15.4 99.00 99.00 99.00 999 1015.8  20.7  24.5 999.0 99.0 99.00
2016 01 06 11 00  59 14.5 16.2 99.00 99.00 99.00 999 1016.2  21.4  25.1 999.0 99.0 99.00
2016 01 06 12 00  60 13.7 14.9 99.00 99.00 99.00 999 1016.5  21.2  25.0 999.0 99.0 99.00
2016 01 06 13 00  68 14.8 16.9 99.00 99.00 99.00 999 1016.8  20.6  24.6 999.0 99.0 99.00
2016 01 06 14 00  54 14.3 15.5 99.00 99.00 99.00 999 1017.2  21.9  24.6 999.0 99.0 99.00
2016 01 06 15 00  56 12.3 15.0 99.00 99.00 99.00 999 1018.2  22.4  24.3 999.0 99.0 99.00
2016 01 06 16 00  60 15.6 16.9 99.00 99.00 99.00 999 1017.2  21.1  24.3 999.0 99.0 99.00
2016 01 06 17 00  40 12.2 14.4 99.00 99.00 99.00 999 1016.5  21.1  24.5 999.0 99.0 99.00
2016 01 06 18 00  65 14.7 16.2 99.00 99.00 99.00 999 1015.8  22.4  25.4 999.0 99.0 99.00
2016 01 06 19 00  71 11.7 14.4 99.00 99.00 99.00 999 1014.9  22.5  25.6 999.0 99.0 99.00
2016 01 06 20 00  61 11.6 13.7 99.00 99.00 99.00 999 1014.5  22.6  25.6 999.0 99.0 99.00
2016 01 06 21 00  63 11.6 13.3 99.00 99.00 99.00 999 1014.1  22.6  25.7 999.0 99.0 99.00
2016 01 06 22 00  57  9.1 10.3 99.00 99.00 99.00 999 1014.5  22.6  25.3 999.0 99.0 99.00
2016 01 06 23 00  57  9.0  9.8 99.00 99.00 99.00 999 1015.0  22.7  25.1 999.0 99.0 99.00
2016 01 07 00 00  53  7.9  8.9 99.00 99.00 99.00 999 1015.4  22.7  25.4 999.0 99.0 99.00
2016 01 07 01 00  52  5.9  6.9 99.00 99.00 99.00 999 1015.9  22.8  25.2 999.0 99.0 99.00
2016 01 07 02 00  40  6.1  6.6 99.00 99.00 99.00 999 1015.9  22.9  25.0 999.0 99.0 99.00
