#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 04 21 00  32  5.9  7.2 99.00 99.00 99.00 999 1025.8  14.5 999.0 999.0 99.0 99.00
2012 01 04 22 00  30  4.8  5.6 99.00 99.00 99.00 999 1026.1  15.1 999.0 999.0 99.0 99.00
2012 01 04 23 00  28  5.7  6.1 99.00 99.00 99.00 999 1025.8  15.2 999.0 999.0 99.0 99.00
2012 01 05 00 00  26  5.2  6.0 99.00 99.00 99.00 999 1026.0  15.5 999.0 999.0 99.0 99.00
2012 01 05 01 00  35  5.4  6.2 99.00 99.00 99.00 999 9999.0  15.9 999.0 999.0 99.0 99.00
2012 01 05 02 00  22  6.7  7.7 99.00 99.00 99.00 999 1026.8  16.3 999.0 999.0 99.0 99.00
2012 01 05 03 00  19  7.6  8.5 99.00 99.00 99.00 999 1026.4  16.6 999.0 999.0 99.0 99.00
2012 01 05 04 00  21  6.6  7.3 99.00 99.00 99.00 999 1026.3  16.7 999.0 999.0 99.0 99.00
2012 01 05 05 00  19  7.3  8.2 99.00 99.00 99.00 999 1025.8  16.6 999.0 999.0 99.0 99.00
2012 01 05 06 00  29  7.1  8.1 99.00 99.00 99.00 999 1025.0  16.6 999.0 999.0 99.0 99.00
2012 01 05 07 00  30  7.4  7.9 99.00 99.00 99.00 999 1024.7  16.6 999.0 999.0 99.0 99.00
2012 01 05 08 00  16  8.2  8.6 99.00 99.00 99.00 999 1024.8  16.6 999.0 999.0 99.0 99.00
2012 01 05 09 00  27  7.7  8.3 99.00 99.00 99.00 999 1024.6  16.4 999.0 999.0 99.0 99.00
2012 01 05 10 00  13  7.2  8.0 99.00 99.00 99.00 999 1024.7  16.6 999.0 999.0 99.0 99.00
2012 01 05 11 00  15  8.3  9.4 99.00 99.00 99.00 999 1025.1  16.7 999.0 999.0 99.0 99.00
2012 01 05 12 00  20  8.1  9.3 99.00 99.00 99.00 999 1025.3  16.6 999.0 999.0 99.0 99.00
2012 01 05 13 00  20  9.4 10.0 99.00 99.00 99.00 999 1025.7  16.6 999.0 999.0 99.0 99.00
2012 01 05 14 00  14  8.5  9.4 99.00 99.00 99.00 999 1026.3  16.5 999.0 999.0 99.0 99.00
2012 01 05 15 00  11  7.5  8.3 99.00 99.00 99.00 999 1026.8  16.3 999.0 999.0 99.0 99.00
2012 01 05 16 00  13  8.6  9.7 99.00 99.00 99.00 999 1026.7  16.1 999.0 999.0 99.0 99.00
2012 01 05 17 00  10  8.5  9.6 99.00 99.00 99.00 999 1025.9  16.3 999.0 999.0 99.0 99.00
2012 01 05 18 00   5  8.5  9.3 99.00 99.00 99.00 999 1024.4  16.2 999.0 999.0 99.0 99.00
2012 01 05 19 00   8  9.2  9.8 99.00 99.00 99.00 999 1023.9  15.9 999.0 999.0 99.0 99.00
2012 01 05 20 00   5  9.0  9.8 99.00 99.00 99.00 999 1023.6  16.6 999.0 999.0 99.0 99.00
2012 01 05 21 00   4  9.8 10.3 99.00 99.00 99.00 999 1023.6  16.8 999.0 999.0 99.0 99.00
2012 01 05 22 00   8  8.6  9.3 99.00 99.00 99.00 999 1023.6  16.9 999.0 999.0 99.0 99.00
2012 01 05 23 00   4  8.0  8.6 99.00 99.00 99.00 999 1023.9  17.0 999.0 999.0 99.0 99.00
2012 01 06 00 00  15  7.4  8.2 99.00 99.00 99.00 999 1024.2  17.3 999.0 999.0 99.0 99.00
2012 01 06 01 00  17  6.6  7.2 99.00 99.00 99.00 999 1024.6  17.6 999.0 999.0 99.0 99.00
2012 01 06 02 00  26  5.3  5.9 99.00 99.00 99.00 999 1024.5  17.7 999.0 999.0 99.0 99.00
2012 01 06 03 00  52  4.9  5.3 99.00 99.00 99.00 999 1024.3  17.7 999.0 999.0 99.0 99.00
2012 01 06 04 00  33  4.5  5.5 99.00 99.00 99.00 999 1024.4  17.7 999.0 999.0 99.0 99.00
2012 01 06 05 00  48  5.1  6.1 99.00 99.00 99.00 999 1024.1  17.6 999.0 999.0 99.0 99.00
2012 01 06 06 00  50  5.7  6.7 99.00 99.00 99.00 999 1023.7  17.4 999.0 999.0 99.0 99.00
2012 01 06 07 00  55  6.1  7.1 99.00 99.00 99.00 999 1023.3  17.2 999.0 999.0 99.0 99.00
2012 01 06 08 00  43  4.6  5.1 99.00 99.00 99.00 999 1022.8  17.4 999.0 999.0 99.0 99.00
2012 01 06 09 00  48  4.1  4.5 99.00 99.00 99.00 999 1022.5  17.6 999.0 999.0 99.0 99.00
2012 01 06 10 00  43  4.6  5.4 99.00 99.00 99.00 999 1022.5  17.6 999.0 999.0 99.0 99.00
2012 01 06 11 00  37  5.8  6.4 99.00 99.00 99.00 999 1022.6  17.6 999.0 999.0 99.0 99.00
2012 01 06 12 00  55  6.9  7.6 99.00 99.00 99.00 999 1022.8  17.5 999.0 999.0 99.0 99.00
2012 01 06 13 00  53  6.2  7.3 99.00 99.00 99.00 999 1023.3  17.6 999.0 999.0 99.0 99.00
2012 01 06 14 00  51  6.5  7.4 99.00 99.00 99.00 999 1024.0  17.6 999.0 999.0 99.0 99.00
2012 01 06 15 00  58  6.7  7.6 99.00 99.00 99.00 999 1024.7  17.7 999.0 999.0 99.0 99.00
2012 01 06 16 00  50  6.0  6.8 99.00 99.00 99.00 999 1024.7  17.7 999.0 999.0 99.0 99.00
2012 01 06 17 00  63  4.8  5.4 99.00 99.00 99.00 999 1023.9  18.1 999.0 999.0 99.0 99.00
2012 01 06 18 00  62  2.5  3.1 99.00 99.00 99.00 999 1023.0  18.6 999.0 999.0 99.0 99.00
2012 01 06 19 00  66  3.0  3.7 99.00 99.00 99.00 999 1021.9  18.5 999.0 999.0 99.0 99.00
2012 01 06 20 00  46  2.7  3.1 99.00 99.00 99.00 999 1021.2  18.7 999.0 999.0 99.0 99.00
2012 01 06 21 00  48  2.6  3.1 99.00 99.00 99.00 999 1021.0  19.2 999.0 999.0 99.0 99.00
2012 01 06 22 00  46  1.4  2.4 99.00 99.00 99.00 999 1021.1  19.8 999.0 999.0 99.0 99.00
2012 01 06 23 00  33  3.7  4.3 99.00 99.00 99.00 999 1021.2  19.0 999.0 999.0 99.0 99.00
2012 01 07 00 00  42  4.2  5.0 99.00 99.00 99.00 999 1021.5  18.7 999.0 999.0 99.0 99.00
2012 01 07 01 00  53  4.9  5.3 99.00 99.00 99.00 999 1021.8  18.8 999.0 999.0 99.0 99.00
2012 01 07 02 00  41  3.7  4.3 99.00 99.00 99.00 999 1022.1  19.1 999.0 999.0 99.0 99.00
2012 01 07 03 00  38  4.1  4.4 99.00 99.00 99.00 999 1022.4  19.1 999.0 999.0 99.0 99.00
2012 01 07 04 00  37  5.4  5.8 99.00 99.00 99.00 999 1022.0  19.1 999.0 999.0 99.0 99.00
2012 01 07 05 00  39  5.6  6.1 99.00 99.00 99.00 999 1021.8  19.1 999.0 999.0 99.0 99.00
