YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 04 22 00  81  9.1 10.2 99.00 99.00 99.00 999 1023.0  23.2  23.2 999.0 99.0 99.00
2005 01 04 23 00  75  7.8  8.5 99.00 99.00 99.00 999 1023.1  23.1  23.0 999.0 99.0 99.00
2005 01 05 00 00  81  8.0  8.6 99.00 99.00 99.00 999 1023.4  23.1  22.9 999.0 99.0 99.00
2005 01 05 01 00  71  8.2  8.9 99.00 99.00 99.00 999 1024.0  23.2  22.8 999.0 99.0 99.00
2005 01 05 02 00  83  9.6 10.7 99.00 99.00 99.00 999 1024.3  23.2  23.2 999.0 99.0 99.00
2005 01 05 03 00  80  9.6 10.3 99.00 99.00 99.00 999 1024.4  23.2  23.0 999.0 99.0 99.00
2005 01 05 04 00  88 10.2 10.9 99.00 99.00 99.00 999 1023.6  23.1  23.1 999.0 99.0 99.00
2005 01 05 05 00  80 10.2 11.2 99.00 99.00 99.00 999 1023.1  23.1  22.4 999.0 99.0 99.00
2005 01 05 06 00  81 10.3 10.9 99.00 99.00 99.00 999 1022.5  22.9  23.4 999.0 99.0 99.00
2005 01 05 07 00  83  9.9 10.7 99.00 99.00 99.00 999 1022.1  22.8  23.4 999.0 99.0 99.00
2005 01 05 08 00  86  9.9 10.6 99.00 99.00 99.00 999 1021.5  22.8  23.6 999.0 99.0 99.00
2005 01 05 09 00  83  9.8 10.3 99.00 99.00 99.00 999 1021.1  22.9  23.7 999.0 99.0 99.00
2005 01 05 10 00  93 10.1 11.4 99.00 99.00 99.00 999 1021.1  22.8  23.7 999.0 99.0 99.00
2005 01 05 11 00  94  9.9 10.6 99.00 99.00 99.00 999 1021.4  22.7  23.7 999.0 99.0 99.00
2005 01 05 12 00  98  9.1  9.7 99.00 99.00 99.00 999 1021.7  22.9  23.7 999.0 99.0 99.00
2005 01 05 13 00  87  8.5  9.3 99.00 99.00 99.00 999 1022.4  23.0  23.6 999.0 99.0 99.00
2005 01 05 14 00  84  8.2  9.5 99.00 99.00 99.00 999 1023.1  23.3  23.3 999.0 99.0 99.00
2005 01 05 15 00  89  8.5  9.6 99.00 99.00 99.00 999 1023.5  23.4  23.0 999.0 99.0 99.00
2005 01 05 16 00  95  8.2  9.1 99.00 99.00 99.00 999 1023.0  23.3  23.0 999.0 99.0 99.00
2005 01 05 17 00  98  7.3  8.2 99.00 99.00 99.00 999 1022.3  23.4  23.6 999.0 99.0 99.00
2005 01 05 18 00 105  8.2  9.3 99.00 99.00 99.00 999 1021.1  23.5  24.3 999.0 99.0 99.00
2005 01 05 19 00 111  7.2  8.0 99.00 99.00 99.00 999 1020.2  23.4  24.2 999.0 99.0 99.00
2005 01 05 20 00 104  7.1  7.6 99.00 99.00 99.00 999 1019.8  23.4  24.2 999.0 99.0 99.00
2005 01 05 21 00  93  5.3  6.1 99.00 99.00 99.00 999 1019.8  23.4  24.1 999.0 99.0 99.00
2005 01 05 22 00  83  5.7  6.0 99.00 99.00 99.00 999 1020.0  23.5  24.1 999.0 99.0 99.00
2005 01 05 23 00  85  6.1  6.9 99.00 99.00 99.00 999 1020.3  23.6  24.2 999.0 99.0 99.00
2005 01 06 00 00  89  6.9  7.9 99.00 99.00 99.00 999 1020.4  23.6  24.1 999.0 99.0 99.00
2005 01 06 01 00  87  7.8  8.3 99.00 99.00 99.00 999 1020.8  23.7  23.9 999.0 99.0 99.00
2005 01 06 02 00  88  8.7  9.4 99.00 99.00 99.00 999 1021.1  23.8  23.7 999.0 99.0 99.00
2005 01 06 03 00 104 10.3 11.2 99.00 99.00 99.00 999 1020.7  23.8  23.5 999.0 99.0 99.00
2005 01 06 04 00 112 11.5 11.9 99.00 99.00 99.00 999 1020.3  23.7  23.5 999.0 99.0 99.00
2005 01 06 05 00 116 11.0 11.8 99.00 99.00 99.00 999 1019.8  23.6  23.5 999.0 99.0 99.00
2005 01 06 06 00 117 10.7 11.4 99.00 99.00 99.00 999 1019.2  23.6  24.0 999.0 99.0 99.00
2005 01 06 07 00 127 11.7 13.0 99.00 99.00 99.00 999 1018.6  23.4  24.2 999.0 99.0 99.00
2005 01 06 08 00 128 11.7 12.5 99.00 99.00 99.00 999 1018.1  23.4  24.2 999.0 99.0 99.00
2005 01 06 09 00 127 10.9 11.9 99.00 99.00 99.00 999 1018.2  23.4  24.2 999.0 99.0 99.00
2005 01 06 10 00 138 10.1 10.8 99.00 99.00 99.00 999 1018.6  23.3  24.2 999.0 99.0 99.00
2005 01 06 11 00 126 10.8 11.8 99.00 99.00 99.00 999 1018.9  23.2  24.1 999.0 99.0 99.00
2005 01 06 12 00 128  9.1  9.7 99.00 99.00 99.00 999 1019.7  23.2  24.1 999.0 99.0 99.00
2005 01 06 13 00 132  8.3  8.9 99.00 99.00 99.00 999 1020.6  23.4  24.1 999.0 99.0 99.00
2005 01 06 14 00 139  7.4  7.8 99.00 99.00 99.00 999 1021.3  23.3  24.1 999.0 99.0 99.00
2005 01 06 15 00 138  7.4  7.9 99.00 99.00 99.00 999 1021.7  23.7  24.2 999.0 99.0 99.00
2005 01 06 16 00 138  7.0  7.5 99.00 99.00 99.00 999 1021.6  23.8  24.2 999.0 99.0 99.00
2005 01 06 17 00 142  7.2  8.2 99.00 99.00 99.00 999 1021.0  23.7  24.2 999.0 99.0 99.00
2005 01 06 18 00 145  8.9  9.3 99.00 99.00 99.00 999 1020.0  23.8  24.3 999.0 99.0 99.00
2005 01 06 19 00 135  9.2  9.7 99.00 99.00 99.00 999 1019.1  23.6  24.2 999.0 99.0 99.00
2005 01 06 20 00 137  8.0  8.8 99.00 99.00 99.00 999 1019.0  23.6  24.3 999.0 99.0 99.00
2005 01 06 21 00 139  7.5  8.2 99.00 99.00 99.00 999 1019.2  23.7  24.2 999.0 99.0 99.00
2005 01 06 22 00 136  6.3  6.7 99.00 99.00 99.00 999 1019.4  23.7  24.1 999.0 99.0 99.00
2005 01 06 23 00 132  6.1  6.5 99.00 99.00 99.00 999 1019.7  23.6  24.1 999.0 99.0 99.00
2005 01 07 00 00 128  6.6  7.3 99.00 99.00 99.00 999 1020.0  23.8  24.1 999.0 99.0 99.00
2005 01 07 01 00 117  6.6  6.9 99.00 99.00 99.00 999 1020.3  23.6  24.1 999.0 99.0 99.00
2005 01 07 02 00 108  6.7  7.2 99.00 99.00 99.00 999 1020.8  23.5  24.1 999.0 99.0 99.00
2005 01 07 03 00 112  6.5  7.3 99.00 99.00 99.00 999 1021.3  23.7  24.1 999.0 99.0 99.00
2005 01 07 04 00 112  6.5  7.2 99.00 99.00 99.00 999 1021.3  23.9  24.1 999.0 99.0 99.00
2005 01 07 05 00 113  7.6  8.0 99.00 99.00 99.00 999 1020.9  23.5  24.0 999.0 99.0 99.00
2005 01 07 06 00 126  7.2  7.8 99.00 99.00 99.00 999 1020.7  23.8  24.1 999.0 99.0 99.00
2005 01 07 07 00 122  8.0  8.4 99.00 99.00 99.00 999 1020.4  23.5  24.1 999.0 99.0 99.00
2005 01 07 08 00 124  8.0  8.4 99.00 99.00 99.00 999 1020.4  23.4  24.0 999.0 99.0 99.00
2005 01 07 09 00 131  8.3  9.1 99.00 99.00 99.00 999 1020.3  23.4  23.9 999.0 99.0 99.00
2005 01 07 10 00 131  8.0  8.8 99.00 99.00 99.00 999 1020.4  23.3  24.0 999.0 99.0 99.00
2005 01 07 11 00 129  6.8  7.7 99.00 99.00 99.00 999 1021.1  23.4  23.9 999.0 99.0 99.00
2005 01 07 12 00 124  7.3  7.9 99.00 99.00 99.00 999 1021.7  23.5  23.8 999.0 99.0 99.00
2005 01 07 13 00 125  7.3  7.5 99.00 99.00 99.00 999 1022.7  23.7  23.8 999.0 99.0 99.00
2005 01 07 14 00 123  6.9  7.3 99.00 99.00 99.00 999 1023.5  23.9  23.9 999.0 99.0 99.00
2005 01 07 15 00 132  7.1  7.5 99.00 99.00 99.00 999 1024.1  24.0  24.0 999.0 99.0 99.00
2005 01 07 16 00 128  7.0  7.4 99.00 99.00 99.00 999 1024.1  24.0  24.1 999.0 99.0 99.00
2005 01 07 17 00 133  7.6  7.9 99.00 99.00 99.00 999 1023.4  23.9  24.2 999.0 99.0 99.00
2005 01 07 18 00 123  7.3  8.0 99.00 99.00 99.00 999 1022.4  23.8  24.2 999.0 99.0 99.00
2005 01 07 19 00 117  6.4  7.1 99.00 99.00 99.00 999 1022.0  23.8  24.2 999.0 99.0 99.00
2005 01 07 20 00 110  6.4  6.8 99.00 99.00 99.00 999 1021.9  24.1  24.1 999.0 99.0 99.00
2005 01 07 21 00 110  6.8  7.4 99.00 99.00 99.00 999 1022.1  24.1  24.0 999.0 99.0 99.00
2005 01 07 22 00 104  6.0  6.5 99.00 99.00 99.00 999 1022.5  24.1  24.0 999.0 99.0 99.00
2005 01 07 23 00  97  6.5  6.9 99.00 99.00 99.00 999 1022.7  24.1  24.0 999.0 99.0 99.00
2005 01 08 00 00  99  8.3  8.7 99.00 99.00 99.00 999 1022.7  24.0  24.0 999.0 99.0 99.00
2005 01 08 01 00  93  9.1  9.8 99.00 99.00 99.00 999 1023.1  23.8  23.9 999.0 99.0 99.00
2005 01 08 02 00  97  8.7  9.5 99.00 99.00 99.00 999 1023.5  23.8  23.9 999.0 99.0 99.00
2005 01 08 03 00 101  9.1  9.7 99.00 99.00 99.00 999 1023.9  23.7  23.9 999.0 99.0 99.00
2005 01 08 04 00 104  8.4  9.3 99.00 99.00 99.00 999 1024.2  23.9  23.9 999.0 99.0 99.00
2005 01 08 05 00 117  9.1  9.7 99.00 99.00 99.00 999 1023.9  23.9  23.8 999.0 99.0 99.00
2005 01 08 06 00 119  9.5  9.9 99.00 99.00 99.00 999 1023.4  23.7  23.8 999.0 99.0 99.00
2005 01 08 07 00 112  9.2  9.9 99.00 99.00 99.00 999 1023.2  23.6  23.8 999.0 99.0 99.00
2005 01 08 08 00 117 10.1 10.8 99.00 99.00 99.00 999 1022.7  23.5  23.9 999.0 99.0 99.00
2005 01 08 09 00 115  9.5  9.8 99.00 99.00 99.00 999 1022.7  23.5  24.0 999.0 99.0 99.00
2005 01 08 10 00 117  7.5  8.0 99.00 99.00 99.00 999 1023.2  23.6  24.0 999.0 99.0 99.00
2005 01 08 11 00 114  6.8  7.5 99.00 99.00 99.00 999 1023.9  23.6  23.9 999.0 99.0 99.00
2005 01 08 12 00 120  7.9  8.7 99.00 99.00 99.00 999 1024.6  23.7  23.8 999.0 99.0 99.00
2005 01 08 13 00 103  7.1  7.6 99.00 99.00 99.00 999 1025.6  23.7  23.8 999.0 99.0 99.00
2005 01 08 14 00 107  7.9  8.3 99.00 99.00 99.00 999 1026.2  23.8  23.8 999.0 99.0 99.00
2005 01 08 15 00 103  6.5  7.2 99.00 99.00 99.00 999 1026.9  23.9  23.9 999.0 99.0 99.00
2005 01 08 16 00 101  5.3  6.0 99.00 99.00 99.00 999 1026.7  24.2  24.0 999.0 99.0 99.00
2005 01 08 17 00  90  6.0  6.5 99.00 99.00 99.00 999 1026.0  24.0  24.1 999.0 99.0 99.00
2005 01 08 18 00  97  5.4  6.0 99.00 99.00 99.00 999 1025.0  24.0  24.2 999.0 99.0 99.00
2005 01 08 19 00  98  4.5  5.0 99.00 99.00 99.00 999 1024.5  23.9  24.2 999.0 99.0 99.00
2005 01 08 20 00  76  3.7  4.4 99.00 99.00 99.00 999 1024.3  23.9  24.2 999.0 99.0 99.00
2005 01 08 21 00  64  5.0  5.5 99.00 99.00 99.00 999 1024.2  23.9  24.1 999.0 99.0 99.00
2005 01 08 22 00  97  7.2  7.7 99.00 99.00 99.00 999 1024.1  23.8  24.1 999.0 99.0 99.00
2005 01 08 23 00  80  7.5  8.5 99.00 99.00 99.00 999 1024.4  23.9  24.0 999.0 99.0 99.00
2005 01 09 00 00  80  7.1  7.6 99.00 99.00 99.00 999 1024.9  23.7  23.9 999.0 99.0 99.00
2005 01 09 01 00  81  7.2  7.6 99.00 99.00 99.00 999 1025.3  24.0  23.9 999.0 99.0 99.00
2005 01 09 02 00  89  5.6  6.3 99.00 99.00 99.00 999 1025.5  24.1  23.9 999.0 99.0 99.00
2005 01 09 03 00  88  7.4  8.1 99.00 99.00 99.00 999 1025.6  23.7  23.8 999.0 99.0 99.00
2005 01 09 04 00  71  6.5  7.1 99.00 99.00 99.00 999 1025.8  23.6  23.7 999.0 99.0 99.00
2005 01 09 05 00  81  6.7  7.0 99.00 99.00 99.00 999 1025.5  23.7  23.5 999.0 99.0 99.00
2005 01 09 06 00  72  6.0  6.6 99.00 99.00 99.00 999 1025.2  23.4  23.4 999.0 99.0 99.00
2005 01 09 07 00  76  6.5  6.8 99.00 99.00 99.00 999 1025.0  23.6  23.3 999.0 99.0 99.00
2005 01 09 08 00  85  6.5  7.1 99.00 99.00 99.00 999 1024.6  23.7  23.4 999.0 99.0 99.00
2005 01 09 09 00  79  5.3  5.7 99.00 99.00 99.00 999 1024.5  23.4  23.7 999.0 99.0 99.00
2005 01 09 10 00  87  7.5  7.7 99.00 99.00 99.00 999 1024.4  23.7  23.7 999.0 99.0 99.00
