YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 04 20  98  9.9 11.0 99.00 99.00 99.00 999 1017.3  24.1  22.9 999.0 99.0
98 01 04 21 111  9.0 10.1 99.00 99.00 99.00 999 1017.0  24.5  22.8 999.0 99.0
98 01 04 22 128  9.0 10.3 99.00 99.00 99.00 999 1016.9  24.4  22.9 999.0 99.0
98 01 04 23  97  9.2  9.9 99.00 99.00 99.00 999 1018.1  24.1  22.9 999.0 99.0
98 01 05 00  81  7.3  7.9 99.00 99.00 99.00 999 1018.5  23.8  22.9 999.0 99.0
98 01 05 01  80  9.0 10.1 99.00 99.00 99.00 999 1018.4  24.0  22.8 999.0 99.0
98 01 05 02  73 11.1 12.8 99.00 99.00 99.00 999 1019.0  23.5  22.7 999.0 99.0
98 01 05 03  93 10.1 11.3 99.00 99.00 99.00 999 1019.1  24.0  22.8 999.0 99.0
98 01 05 04  99  8.0  8.8 99.00 99.00 99.00 999 1018.7  23.9  22.9 999.0 99.0
98 01 05 05 100  9.1 10.0 99.00 99.00 99.00 999 1018.6  23.8  22.9 999.0 99.0
98 01 05 06 103  9.7 10.5 99.00 99.00 99.00 999 1018.1  23.8  22.9 999.0 99.0
98 01 05 07  99  9.1 10.8 99.00 99.00 99.00 999 1017.6  23.9  22.8 999.0 99.0
98 01 05 08  94  9.3 10.6 99.00 99.00 99.00 999 1017.1  23.8  22.7 999.0 99.0
98 01 05 09  94  7.6  8.3 99.00 99.00 99.00 999 1016.9  23.9  22.8 999.0 99.0
98 01 05 10 105  8.9  9.8 99.00 99.00 99.00 999 1017.0  24.0  22.8 999.0 99.0
98 01 05 11 107  8.2  9.2 99.00 99.00 99.00 999 1017.2  24.1  22.8 999.0 99.0
98 01 05 12 105  8.0  8.6 99.00 99.00 99.00 999 1017.7  24.2  22.8 999.0 99.0
98 01 05 13 102  8.3  8.9 99.00 99.00 99.00 999 1018.3  24.1  22.9 999.0 99.0
98 01 05 14  95  7.6  8.3 99.00 99.00 99.00 999 1019.1  24.2  22.9 999.0 99.0
98 01 05 15  96  7.9  8.6 99.00 99.00 99.00 999 1019.4  24.1  22.9 999.0 99.0
98 01 05 16  99  7.9  9.1 99.00 99.00 99.00 999 1019.1  24.2  23.0 999.0 99.0
98 01 05 17  90  8.2  8.9 99.00 99.00 99.00 999 1018.2  24.2  23.1 999.0 99.0
98 01 05 18  93  7.8  8.5 99.00 99.00 99.00 999 1017.3  24.2  23.0 999.0 99.0
98 01 05 19  91  7.8  8.6 99.00 99.00 99.00 999 1016.3  24.3  23.1 999.0 99.0
98 01 05 20  93  7.4  8.5 99.00 99.00 99.00 999 1015.9  24.4  23.1 999.0 99.0
98 01 05 21  82  7.3  8.3 99.00 99.00 99.00 999 1016.0  24.4  23.0 999.0 99.0
98 01 05 22  86  8.0  8.7 99.00 99.00 99.00 999 1016.0  24.5  23.0 999.0 99.0
98 01 05 23  88  9.3 10.2 99.00 99.00 99.00 999 1016.2  24.7  23.0 999.0 99.0
98 01 06 00  86  7.7  8.2 99.00 99.00 99.00 999 1016.6  24.5  23.1 999.0 99.0
98 01 06 01  87  8.9  9.7 99.00 99.00 99.00 999 1017.2  24.5  23.1 999.0 99.0
98 01 06 02  85 10.6 11.7 99.00 99.00 99.00 999 1017.5  24.3  23.2 999.0 99.0
98 01 06 03  97 10.1 10.9 99.00 99.00 99.00 999 1017.8  24.3  23.2 999.0 99.0
98 01 06 04  96  9.4 10.5 99.00 99.00 99.00 999 1017.7  24.4  23.4 999.0 99.0
98 01 06 05 103  8.3  9.4 99.00 99.00 99.00 999 1017.4  24.5  23.5 999.0 99.0
