#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 06 13 09 00  90  5.1   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 13 07 00 110  5.1  6.2    MM    MM    MM  MM 1015.6  27.8  28.8  23.6   MM   MM    MM
2017 06 13 04 00 100  5.7   MM    MM    MM    MM  MM     MM  27.5    MM  24.0   MM   MM    MM
2017 06 13 02 00  90  6.2   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 13 00 00  80  5.7  6.7    MM    MM    MM  MM 1015.8  28.2  29.5  24.4   MM   MM    MM
2017 06 12 23 00 110  4.1  5.7    MM    MM    MM  MM 1015.8  28.2  29.5  24.7   MM   MM    MM
2017 06 12 12 00 130  4.6   MM    MM    MM    MM  MM 1017.8  28.5    MM  24.3   MM   MM    MM
2017 06 12 11 00 110  4.6   MM    MM    MM    MM  MM     MM  28.0    MM  24.7   MM   MM    MM
2017 06 12 10 00 100  5.1  6.2    MM    MM    MM  MM 1017.1  28.0  29.2  25.2   MM   MM    MM
2017 06 12 06 00  90  6.7   MM    MM    MM    MM  MM 1017.6  28.3  29.5  24.9   MM   MM    MM
2017 06 12 01 00  90  7.7   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 11 23 00  90  7.7  8.2    MM    MM    MM  MM 1017.4  28.6  30.3  25.1   MM   MM    MM
2017 06 11 22 00 100  6.7  7.7    MM    MM    MM  MM 1017.6  28.6  30.3  25.1   MM -1.0    MM
2017 06 11 21 00  MM   MM   MM    MM    MM    MM  MM 1018.0    MM  30.3    MM   MM   MM    MM
2017 06 11 19 00 100  7.2  7.7    MM    MM    MM  MM 1018.6  28.6  29.8  25.1   MM   MM    MM
2017 06 11 12 00  MM   MM   MM    MM    MM    MM  MM 1018.7    MM  28.6    MM   MM   MM    MM
2017 06 11 11 00 130  4.6  5.1    MM    MM    MM  MM 1018.1  28.3  28.7  24.8   MM +1.0    MM
2017 06 11 09 00 140  6.7   MM    MM    MM    MM  MM     MM  28.3    MM  24.7   MM   MM    MM
2017 06 11 08 00 140  7.7  8.2    MM    MM    MM  MM 1017.1  28.4  28.9  24.3   MM -1.1    MM
