YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 06 08 100  7.7  8.2 99.00 99.00 99.00 999 1015.6  24.0  22.9 999.0 99.0
98 01 06 09 107  7.7  8.0 99.00 99.00 99.00 999 1015.4  24.1  22.9 999.0 99.0
98 01 06 10 100  6.9  7.3 99.00 99.00 99.00 999 1015.7  24.2  22.9 999.0 99.0
98 01 06 11 112  8.9  9.6 99.00 99.00 99.00 999 1015.8  24.3  22.9 999.0 99.0
98 01 06 12 106  8.4  9.2 99.00 99.00 99.00 999 1016.5  24.3  22.9 999.0 99.0
98 01 06 13 111 10.3 11.0 99.00 99.00 99.00 999 1016.8  24.6  22.9 999.0 99.0
98 01 06 14 116  8.8  9.2 99.00 99.00 99.00 999 1017.1  24.8  22.9 999.0 99.0
98 01 06 15 123  8.8  9.5 99.00 99.00 99.00 999 1017.2  25.0  23.0 999.0 99.0
98 01 06 16 127  9.0  9.6 99.00 99.00 99.00 999 1017.1  25.5  23.1 999.0 99.0
98 01 06 17 131  9.4  9.9 99.00 99.00 99.00 999 1016.7  25.5  23.1 999.0 99.0
98 01 06 18 127  9.7 10.2 99.00 99.00 99.00 999 1015.7  25.7  23.3 999.0 99.0
98 01 06 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 06 20 119  9.2  9.8 99.00 99.00 99.00 999 1014.6  25.9  23.7 999.0 99.0
98 01 06 21 117 10.6 11.5 99.00 99.00 99.00 999 1014.2  25.6  23.5 999.0 99.0
98 01 06 22 124 11.7 12.8 99.00 99.00 99.00 999 1014.0  25.4  23.7 999.0 99.0
98 01 06 23 115  9.2  9.8 99.00 99.00 99.00 999 1014.3  24.9  23.6 999.0 99.0
98 01 07 00 109  9.2  9.8 99.00 99.00 99.00 999 1014.5  24.8  23.6 999.0 99.0
98 01 07 01 113 10.9 11.7 99.00 99.00 99.00 999 1014.5  24.8  23.6 999.0 99.0
98 01 07 02 114 10.9 12.0 99.00 99.00 99.00 999 1014.6  24.8  23.5 999.0 99.0
98 01 07 03 123 10.9 11.7 99.00 99.00 99.00 999 1014.6  24.8  23.3 999.0 99.0
98 01 07 04 121 12.4 12.9 99.00 99.00 99.00 999 1014.5  24.8  23.5 999.0 99.0
98 01 07 05 125 13.0 14.0 99.00 99.00 99.00 999 1014.0  24.7  23.6 999.0 99.0
98 01 07 06 132 11.6 12.5 99.00 99.00 99.00 999 1014.0  24.8  23.1 999.0 99.0
98 01 07 07 131 12.8 14.0 99.00 99.00 99.00 999 1013.6  24.7  23.5 999.0 99.0
98 01 07 08 129 13.4 14.2 99.00 99.00 99.00 999 1012.8  24.6  23.6 999.0 99.0
98 01 07 09 128 12.8 14.0 99.00 99.00 99.00 999 1012.1  24.6  23.6 999.0 99.0
98 01 07 10 126 13.6 14.7 99.00 99.00 99.00 999 1011.9  24.6  23.6 999.0 99.0
98 01 07 11 130 13.5 14.8 99.00 99.00 99.00 999 1011.9  24.6  23.5 999.0 99.0
98 01 07 12 139 11.9 13.3 99.00 99.00 99.00 999 1012.6  24.6  23.3 999.0 99.0
98 01 07 13 132 11.4 12.5 99.00 99.00 99.00 999 1013.2  24.8  23.1 999.0 99.0
98 01 07 14 131 12.1 13.3 99.00 99.00 99.00 999 1013.7  25.0  23.2 999.0 99.0
98 01 07 15 131 11.6 12.3 99.00 99.00 99.00 999 1014.3  25.1  23.2 999.0 99.0
98 01 07 16 128 11.6 12.3 99.00 99.00 99.00 999 1013.9  25.4  23.3 999.0 99.0
