#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 18 16 00 120  5.7  6.2    MM    MM    MM  MM 1024.0  24.9  25.2    MM   MM +0.7    MM
2017 12 18 15 00 110  5.7  6.2    MM    MM    MM  MM 1024.0  25.0  25.1    MM   MM +0.8    MM
2017 12 18 14 00 120  6.2  6.7    MM    MM    MM  MM 1023.7  25.1  25.1    MM   MM +0.8    MM
2017 12 18 13 00 120  6.2  6.7    MM    MM    MM  MM 1023.3  24.9  25.2    MM   MM +0.8    MM
2017 12 18 12 00 120  5.1  5.7    MM    MM    MM  MM 1023.2  24.6  25.2    MM   MM +1.0    MM
2017 12 18 11 00 120  5.1  5.7    MM    MM    MM  MM 1022.9  24.6  25.2    MM   MM +0.8    MM
2017 12 18 10 00 120  4.6  5.1    MM    MM    MM  MM 1022.5  24.6  25.2    MM   MM -0.0    MM
2017 12 18 09 00 120  5.1  6.2    MM    MM    MM  MM 1022.2  24.7  25.2    MM   MM -0.5    MM
2017 12 18 08 00 120  5.7  6.2    MM    MM    MM  MM 1022.1  24.6  25.2    MM   MM -0.9    MM
2017 12 18 07 00 120  6.2  6.7    MM    MM    MM  MM 1022.4  24.6  25.2    MM   MM -0.7    MM
2017 12 18 06 00 120  6.7  7.7    MM    MM    MM  MM 1022.7  24.7  25.2    MM   MM -0.7    MM
2017 12 18 05 00 120  6.7  7.2    MM    MM    MM  MM 1023.0  24.9  25.2    MM   MM -0.3    MM
2017 12 18 04 00 120  7.2  7.7    MM    MM    MM  MM 1023.1  24.9  25.3    MM   MM +0.0    MM
2017 12 18 03 00 110  7.2   MM    MM    MM    MM  MM 1023.4  25.1    MM    MM   MM +1.0    MM
2017 12 18 02 00  90  6.2  6.7    MM    MM    MM  MM 1023.3  25.0  25.2    MM   MM +1.3    MM
2017 12 18 01 00 100  5.7  6.2    MM    MM    MM  MM 1023.1  25.1  25.2    MM   MM +1.4    MM
2017 12 18 00 00 110  5.1  6.2    MM    MM    MM  MM 1022.4  25.0  25.2    MM   MM +1.0    MM
2017 12 17 23 00 100  5.1  5.7    MM    MM    MM  MM 1022.0  25.0  25.2    MM   MM +0.9    MM
2017 12 17 22 00 100  5.1  5.7    MM    MM    MM  MM 1021.7  24.9  25.2    MM   MM -0.0    MM
2017 12 17 21 00 120  6.2  6.7    MM    MM    MM  MM 1021.4  24.8  25.2    MM   MM -0.8    MM
2017 12 17 20 00 120  7.2  8.2    MM    MM    MM  MM 1021.1  24.8  25.1    MM   MM -2.2    MM
2017 12 17 19 00 120  7.2  8.2    MM    MM    MM  MM 1021.6  24.8  25.1    MM   MM -2.1    MM
2017 12 17 18 00 110  7.2  8.2    MM    MM    MM  MM 1022.2  24.7  25.1    MM   MM -1.6    MM
2017 12 17 17 00 100  7.2  8.2    MM    MM    MM  MM 1023.3  24.6  25.0    MM   MM +0.0    MM
2017 12 17 16 00 100  7.7  8.2    MM    MM    MM  MM 1023.7  24.7  24.9    MM   MM +0.8    MM
2017 12 17 15 00 120  8.2  9.3    MM    MM    MM  MM 1023.8  24.6  24.9    MM   MM +1.3    MM
2017 12 17 14 00 110  7.7  8.8    MM    MM    MM  MM 1023.4  24.6  24.9    MM   MM +1.2    MM
2017 12 17 13 00 120  8.2  8.2    MM    MM    MM  MM 1022.9  24.3  25.0    MM   MM +1.1    MM
2017 12 17 12 00 100  8.2  8.8    MM    MM    MM  MM 1022.5  24.2  25.0    MM   MM +0.8    MM
2017 12 17 11 00 100  8.2  8.8    MM    MM    MM  MM 1022.2  24.1  25.1    MM   MM +0.6    MM
2017 12 17 10 00  90  7.7  8.8    MM    MM    MM  MM 1021.8  23.9  25.1    MM   MM -0.0    MM
2017 12 17 09 00  90  8.2  8.8    MM    MM    MM  MM 1021.7  23.9  25.1    MM   MM -0.7    MM
2017 12 17 08 00  90  8.8  9.3    MM    MM    MM  MM 1021.6  24.0  25.1    MM   MM -1.1    MM
2017 12 17 07 00 100  9.3 10.3    MM    MM    MM  MM 1021.9  24.0  25.1    MM   MM -0.8    MM
2017 12 17 06 00  90  8.2  9.3    MM    MM    MM  MM 1022.4  24.2  25.1    MM   MM -0.4    MM
2017 12 17 05 00  90  7.7  9.3    MM    MM    MM  MM 1022.7  24.1  25.1    MM   MM +0.3    MM
2017 12 17 04 00  90  8.2  8.8    MM    MM    MM  MM 1022.7  23.9  25.1    MM   MM +0.6    MM
2017 12 17 03 00  50  6.7  7.7    MM    MM    MM  MM 1022.8  24.0  25.1    MM   MM +1.1    MM
2017 12 17 02 00  50  7.7  8.8    MM    MM    MM  MM 1022.4  24.0  25.1    MM   MM +1.1    MM
2017 12 17 01 00  60  7.2  8.2    MM    MM    MM  MM 1022.1  24.0  25.2    MM   MM +1.1    MM
