#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 17 00 50  MM   MM   MM    MM    MM    MM  MM 1021.9  22.9    MM  18.0   MM +1.2    MM
2017 12 16 23 50  MM   MM   MM    MM    MM    MM  MM 1021.7  22.8    MM  18.0   MM +1.3    MM
2017 12 16 22 50  MM   MM   MM    MM    MM    MM  MM 1021.1  23.0    MM  18.1   MM +0.6    MM
2017 12 16 21 50  MM   MM   MM    MM    MM    MM  MM 1020.7  22.8    MM  17.9   MM -0.0    MM
2017 12 16 20 50  MM   MM   MM    MM    MM    MM  MM 1020.4  22.7    MM  17.7   MM -1.0    MM
2017 12 16 19 50  MM   MM   MM    MM    MM    MM  MM 1020.5  22.6    MM  17.5   MM -1.8    MM
2017 12 16 18 50  MM   MM   MM    MM    MM    MM  MM 1020.8  22.1    MM  16.8   MM -2.2    MM
2017 12 16 17 50  MM   MM   MM    MM    MM    MM  MM 1021.4  21.8    MM  16.3   MM -1.7    MM
2017 12 16 16 50  MM   MM   MM    MM    MM    MM  MM 1022.3  21.6    MM  15.7   MM -0.5    MM
2017 12 16 15 50  MM   MM   MM    MM    MM    MM  MM 1023.0  21.0    MM  15.8   MM +0.8    MM
2017 12 16 14 50  MM   MM   MM    MM    MM    MM  MM 1023.1  21.0    MM  15.1   MM +1.5    MM
2017 12 16 13 50  MM   MM   MM    MM    MM    MM  MM 1022.8  20.7    MM  15.2   MM +1.8    MM
2017 12 16 12 50  MM   MM   MM    MM    MM    MM  MM 1022.2  21.5    MM  15.5   MM +1.1    MM
2017 12 16 11 50  MM   MM   MM    MM    MM    MM  MM 1021.6  21.4    MM  14.9   MM +0.3    MM
2017 12 16 10 50  MM   MM   MM    MM    MM    MM  MM 1021.0  21.1    MM  15.1   MM -0.3    MM
2017 12 16 09 50  MM   MM   MM    MM    MM    MM  MM 1021.1  21.1    MM  15.3   MM -0.6    MM
2017 12 16 08 50  MM   MM   MM    MM    MM    MM  MM 1021.3  21.1    MM  15.7   MM -0.5    MM
2017 12 16 07 50  MM   MM   MM    MM    MM    MM  MM 1021.3  20.8    MM  16.3   MM -0.6    MM
2017 12 16 06 50  MM   MM   MM    MM    MM    MM  MM 1021.7  20.6    MM  16.0   MM -0.4    MM
2017 12 16 05 50  MM   MM   MM    MM    MM    MM  MM 1021.8  20.9    MM  15.3   MM +0.0    MM
2017 12 16 04 50  MM   MM   MM    MM    MM    MM  MM 1021.9  21.0    MM  15.4   MM +0.5    MM
2017 12 16 03 50  MM   MM   MM    MM    MM    MM  MM 1022.1  20.9    MM  15.7   MM +1.2    MM
2017 12 16 02 50  MM   MM   MM    MM    MM    MM  MM 1021.9  21.2    MM  15.1   MM +1.7    MM
2017 12 16 01 50  MM   MM   MM    MM    MM    MM  MM 1021.4  21.0    MM  15.0   MM +1.8    MM
2017 12 16 00 50  MM   MM   MM    MM    MM    MM  MM 1020.9  21.3    MM  14.7   MM +1.7    MM
2017 12 15 23 50  MM   MM   MM    MM    MM    MM  MM 1020.2  21.2    MM  14.6   MM +1.1    MM
2017 12 15 22 50  MM   MM   MM    MM    MM    MM  MM 1019.6  21.2    MM  14.3   MM +0.7    MM
2017 12 15 21 50  MM   MM   MM    MM    MM    MM  MM 1019.2  21.2    MM  14.0   MM +0.0    MM
2017 12 15 20 50  MM   MM   MM    MM    MM    MM  MM 1019.1  21.3    MM  12.7   MM -0.4    MM
2017 12 15 19 50  MM   MM   MM    MM    MM    MM  MM 1018.9  20.8    MM  13.7   MM -1.6    MM
2017 12 15 18 50  MM   MM   MM    MM    MM    MM  MM 1019.1  21.2    MM  11.5   MM -1.6    MM
2017 12 15 17 50  MM   MM   MM    MM    MM    MM  MM 1019.5  20.9    MM  12.4   MM -1.3    MM
2017 12 15 16 50  MM   MM   MM    MM    MM    MM  MM 1020.5  20.7    MM  12.8   MM +0.3    MM
2017 12 15 15 50  MM   MM   MM    MM    MM    MM  MM 1020.7  20.6    MM  13.3   MM +1.0    MM
2017 12 15 14 50  MM   MM   MM    MM    MM    MM  MM 1020.8  20.4    MM  13.9   MM +1.6    MM
2017 12 15 13 50  MM   MM   MM    MM    MM    MM  MM 1020.2  20.0    MM  13.9   MM +1.1    MM
2017 12 15 12 50  MM   MM   MM    MM    MM    MM  MM 1019.7  20.2    MM  14.1   MM +1.0    MM
2017 12 15 11 50  MM   MM   MM    MM    MM    MM  MM 1019.2  19.9    MM  14.0   MM +0.8    MM
2017 12 15 10 50  MM   MM   MM    MM    MM    MM  MM 1019.1  19.9    MM  14.0   MM +0.5    MM
2017 12 15 09 50  MM   MM   MM    MM    MM    MM  MM 1018.7  20.0    MM  14.6   MM -0.0    MM
2017 12 15 08 50  MM   MM   MM    MM    MM    MM  MM 1018.4  20.2    MM  14.5   MM -1.0    MM
2017 12 15 07 50  MM   MM   MM    MM    MM    MM  MM 1018.6  20.3    MM  14.3   MM -1.2    MM
2017 12 15 06 50  MM   MM   MM    MM    MM    MM  MM 1018.9  20.5    MM  11.9   MM -0.8    MM
2017 12 15 05 50  MM   MM   MM    MM    MM    MM  MM 1019.4  20.3    MM  12.2   MM -0.5    MM
2017 12 15 04 50  MM   MM   MM    MM    MM    MM  MM 1019.8  20.3    MM  11.3   MM +0.0    MM
2017 12 15 03 50  MM   MM   MM    MM    MM    MM  MM 1019.7  20.2    MM  11.9   MM +0.7    MM
2017 12 15 02 50  MM   MM   MM    MM    MM    MM  MM 1019.9  20.1    MM  12.3   MM +1.2    MM
2017 12 15 01 50  MM   MM   MM    MM    MM    MM  MM 1019.6  19.9    MM  12.0   MM +1.1    MM
2017 12 15 00 50  MM   MM   MM    MM    MM    MM  MM 1019.0  19.7    MM  12.5   MM +0.7    MM
2017 12 14 23 50  MM   MM   MM    MM    MM    MM  MM 1018.7  19.5    MM  12.4   MM +0.4    MM
2017 12 14 22 50  MM   MM   MM    MM    MM    MM  MM 1018.5  19.1    MM  11.9   MM -0.0    MM
2017 12 14 21 50  MM   MM   MM    MM    MM    MM  MM 1018.3  19.0    MM  11.5   MM -0.8    MM
2017 12 14 20 50  MM   MM   MM    MM    MM    MM  MM 1018.3  18.7    MM  11.4   MM -1.4    MM
2017 12 14 19 50  MM   MM   MM    MM    MM    MM  MM 1018.6  18.5    MM  11.6   MM -1.6    MM
2017 12 14 18 50  MM   MM   MM    MM    MM    MM  MM 1019.1  18.1    MM  11.1   MM -1.3    MM
2017 12 14 17 50  MM   MM   MM    MM    MM    MM  MM 1019.7  18.2    MM  10.4   MM -0.6    MM
2017 12 14 16 50  MM   MM   MM    MM    MM    MM  MM 1020.2  18.2    MM  10.4   MM +0.7    MM
2017 12 14 15 50  MM   MM   MM    MM    MM    MM  MM 1020.4  18.1    MM  10.3   MM +1.5    MM
2017 12 14 14 50  MM   MM   MM    MM    MM    MM  MM 1020.3  18.2    MM   9.9   MM +1.8    MM
2017 12 14 13 50  MM   MM   MM    MM    MM    MM  MM 1019.5  18.2    MM  10.2   MM +1.2    MM
