#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 02 17 50  MM   MM   MM    MM    MM    MM  MM 1019.4  24.4    MM  18.7   MM -1.2    MM
2017 12 02 16 50  MM   MM   MM    MM    MM    MM  MM 1020.0  24.1    MM  18.4   MM -0.3    MM
2017 12 02 15 50  MM   MM   MM    MM    MM    MM  MM 1020.4  24.0    MM  18.8   MM +0.8    MM
2017 12 02 14 50  MM   MM   MM    MM    MM    MM  MM 1020.6  24.1    MM  18.8   MM +1.5    MM
2017 12 02 13 50  MM   MM   MM    MM    MM    MM  MM 1020.3  23.8    MM  18.8   MM +1.8    MM
2017 12 02 12 50  MM   MM   MM    MM    MM    MM  MM 1019.6  23.5    MM  19.2   MM +1.6    MM
2017 12 02 11 50  MM   MM   MM    MM    MM    MM  MM 1019.1  23.4    MM  19.3   MM +1.2    MM
2017 12 02 10 50  MM   MM   MM    MM    MM    MM  MM 1018.5  23.5    MM  19.3   MM +0.3    MM
2017 12 02 09 50  MM   MM   MM    MM    MM    MM  MM 1018.0  23.7    MM  19.0   MM -0.7    MM
2017 12 02 08 50  MM   MM   MM    MM    MM    MM  MM 1017.9  23.7    MM  18.8   MM -1.2    MM
2017 12 02 07 50  MM   MM   MM    MM    MM    MM  MM 1018.2  23.7    MM  18.6   MM -1.2    MM
2017 12 02 06 50  MM   MM   MM    MM    MM    MM  MM 1018.7  23.8    MM  18.4   MM -1.0    MM
2017 12 02 05 50  MM   MM   MM    MM    MM    MM  MM 1019.1  24.0    MM  18.6   MM -0.5    MM
2017 12 02 04 50  MM   MM   MM    MM    MM    MM  MM 1019.4  24.1    MM  18.9   MM +0.0    MM
2017 12 02 03 50  MM   MM   MM    MM    MM    MM  MM 1019.7  24.3    MM  19.4   MM +0.8    MM
2017 12 02 02 50  MM   MM   MM    MM    MM    MM  MM 1019.6  24.6    MM  19.1   MM +1.5    MM
2017 12 02 01 50  MM   MM   MM    MM    MM    MM  MM 1019.4  24.3    MM  20.5   MM +1.9    MM
2017 12 02 00 50  MM   MM   MM    MM    MM    MM  MM 1018.9  24.3    MM  19.8   MM +1.8    MM
2017 12 01 23 50  MM   MM   MM    MM    MM    MM  MM 1018.1  24.2    MM  19.7   MM +1.2    MM
2017 12 01 22 50  MM   MM   MM    MM    MM    MM  MM 1017.5  24.0    MM  19.6   MM +0.3    MM
2017 12 01 21 50  MM   MM   MM    MM    MM    MM  MM 1017.1  24.1    MM  19.2   MM +0.0    MM
2017 12 01 20 50  MM   MM   MM    MM    MM    MM  MM 1016.9  24.3    MM  18.9   MM -1.0    MM
2017 12 01 19 50  MM   MM   MM    MM    MM    MM  MM 1017.2  24.1    MM  19.5   MM -1.4    MM
2017 12 01 18 50  MM   MM   MM    MM    MM    MM  MM 1017.1  23.8    MM  19.7   MM -2.1    MM
2017 12 01 17 50  MM   MM   MM    MM    MM    MM  MM 1017.9  23.7    MM  19.5   MM -1.4    MM
2017 12 01 16 50  MM   MM   MM    MM    MM    MM  MM 1018.6  23.6    MM  19.5   MM -0.5    MM
2017 12 01 15 50  MM   MM   MM    MM    MM    MM  MM 1019.2  23.7    MM  19.0   MM +1.0    MM
2017 12 01 14 50  MM   MM   MM    MM    MM    MM  MM 1019.3  23.7    MM  19.0   MM +1.7    MM
2017 12 01 13 50  MM   MM   MM    MM    MM    MM  MM 1019.1  23.6    MM  19.1   MM +2.1    MM
2017 12 01 12 50  MM   MM   MM    MM    MM    MM  MM 1018.2  23.6    MM  18.5   MM +1.7    MM
2017 12 01 11 50  MM   MM   MM    MM    MM    MM  MM 1017.6  23.5    MM  18.8   MM +1.2    MM
2017 12 01 10 50  MM   MM   MM    MM    MM    MM  MM 1017.0  23.6    MM  18.9   MM +0.7    MM
2017 12 01 09 50  MM   MM   MM    MM    MM    MM  MM 1016.5  23.5    MM  18.9   MM -0.3    MM
2017 12 01 08 50  MM   MM   MM    MM    MM    MM  MM 1016.4  23.6    MM  19.0   MM -0.7    MM
2017 12 01 07 50  MM   MM   MM    MM    MM    MM  MM 1016.3  23.7    MM  18.8   MM -1.2    MM
2017 12 01 06 50  MM   MM   MM    MM    MM    MM  MM 1016.8  23.9    MM  18.5   MM -1.1    MM
2017 12 01 05 50  MM   MM   MM    MM    MM    MM  MM 1017.1  24.0    MM  18.6   MM -0.6    MM
2017 12 01 04 50  MM   MM   MM    MM    MM    MM  MM 1017.5  24.3    MM  19.2   MM +0.0    MM
2017 12 01 03 50  MM   MM   MM    MM    MM    MM  MM 1017.9  24.5    MM  19.5   MM +0.8    MM
2017 12 01 02 50  MM   MM   MM    MM    MM    MM  MM 1017.7  24.5    MM  20.2   MM +1.1    MM
2017 12 01 01 50  MM   MM   MM    MM    MM    MM  MM 1017.5  24.9    MM  20.1   MM +1.3    MM
2017 12 01 00 50  MM   MM   MM    MM    MM    MM  MM 1017.1  25.0    MM  20.5   MM +1.1    MM
2017 11 30 22 50  MM   MM   MM    MM    MM    MM  MM 1016.2  24.8    MM  19.4   MM +0.5    MM
2017 11 30 21 50  MM   MM   MM    MM    MM    MM  MM 1016.0  24.7    MM  19.4   MM -0.3    MM
2017 11 30 20 50  MM   MM   MM    MM    MM    MM  MM 1015.5  24.6    MM  19.7   MM -1.9    MM
2017 11 30 19 50  MM   MM   MM    MM    MM    MM  MM 1015.7  24.3    MM  20.0   MM -2.8    MM
2017 11 30 18 50  MM   MM   MM    MM    MM    MM  MM 1016.3  24.4    MM  20.0   MM -2.6    MM
2017 11 30 17 50  MM   MM   MM    MM    MM    MM  MM 1017.4  24.2    MM  19.9   MM -1.7    MM
2017 11 30 16 50  MM   MM   MM    MM    MM    MM  MM 1018.5  24.0    MM  19.8   MM -0.5    MM
2017 11 30 15 50  MM   MM   MM    MM    MM    MM  MM 1018.9  24.3    MM  20.2   MM +0.6    MM
2017 11 30 14 50  MM   MM   MM    MM    MM    MM  MM 1019.1  24.1    MM  20.0   MM +1.5    MM
2017 11 30 13 50  MM   MM   MM    MM    MM    MM  MM 1019.0  24.1    MM  19.9   MM +1.8    MM
2017 11 30 12 50  MM   MM   MM    MM    MM    MM  MM 1018.3  23.9    MM  20.3   MM +1.6    MM
2017 11 30 11 50  MM   MM   MM    MM    MM    MM  MM 1017.6  23.7    MM  20.5   MM +1.1    MM
2017 11 30 10 50  MM   MM   MM    MM    MM    MM  MM 1017.2  23.9    MM  20.6   MM +0.3    MM
2017 11 30 09 50  MM   MM   MM    MM    MM    MM  MM 1016.7  24.0    MM  20.6   MM -0.6    MM
2017 11 30 08 50  MM   MM   MM    MM    MM    MM  MM 1016.5  24.1    MM  20.7   MM -1.4    MM
2017 11 30 07 50  MM   MM   MM    MM    MM    MM  MM 1016.9  24.0    MM  20.7   MM -1.5    MM
2017 11 30 06 50  MM   MM   MM    MM    MM    MM  MM 1017.3  24.1    MM  21.0   MM -1.5    MM
2017 11 30 05 50  MM   MM   MM    MM    MM    MM  MM 1017.9  24.2    MM  20.9   MM -1.0    MM
2017 11 30 04 50  MM   MM   MM    MM    MM    MM  MM 1018.4  24.5    MM  20.8   MM +0.0    MM
2017 11 30 03 50  MM   MM   MM    MM    MM    MM  MM 1018.8  24.7    MM  20.9   MM +0.7    MM
2017 11 30 02 50  MM   MM   MM    MM    MM    MM  MM 1018.9  24.6    MM  21.0   MM +1.1    MM
2017 11 30 01 50  MM   MM   MM    MM    MM    MM  MM 1018.5  24.8    MM  21.2   MM +1.2    MM
2017 11 30 00 50  MM   MM   MM    MM    MM    MM  MM 1018.1  24.9    MM  21.4   MM +1.3    MM
2017 11 29 23 50  MM   MM   MM    MM    MM    MM  MM 1017.8  24.8    MM  21.5   MM +1.1    MM
2017 11 29 22 50  MM   MM   MM    MM    MM    MM  MM 1017.3  24.7    MM  21.5   MM +0.5    MM
2017 11 29 21 50  MM   MM   MM    MM    MM    MM  MM 1016.8  24.6    MM  21.5   MM -0.5    MM
2017 11 29 20 50  MM   MM   MM    MM    MM    MM  MM 1016.7  25.2    MM  21.2   MM -1.3    MM
2017 11 29 19 50  MM   MM   MM    MM    MM    MM  MM 1016.8  25.2    MM  20.8   MM -1.9    MM
2017 11 29 18 50  MM   MM   MM    MM    MM    MM  MM 1017.3  25.0    MM  20.8   MM -1.9    MM
2017 11 29 17 50  MM   MM   MM    MM    MM    MM  MM 1018.0  24.7    MM  20.9   MM -1.7    MM
2017 11 29 16 50  MM   MM   MM    MM    MM    MM  MM 1018.7  24.5    MM  21.0   MM -0.7    MM
2017 11 29 15 50  MM   MM   MM    MM    MM    MM  MM 1019.2  24.7    MM  21.2   MM +0.0    MM
2017 11 29 14 50  MM   MM   MM    MM    MM    MM  MM 1019.7  24.1    MM  21.1   MM +1.0    MM
2017 11 29 13 50  MM   MM   MM    MM    MM    MM  MM 1019.4  23.9    MM  21.1   MM +1.5    MM
2017 11 29 12 50  MM   MM   MM    MM    MM    MM  MM 1019.1  23.8    MM  21.5   MM +2.1    MM
2017 11 29 11 50  MM   MM   MM    MM    MM    MM  MM 1018.7  23.9    MM  21.5   MM +1.0    MM
2017 11 29 10 50  MM   MM   MM    MM    MM    MM  MM 1017.9  24.0    MM  21.5   MM +0.3    MM
2017 11 29 09 50  MM   MM   MM    MM    MM    MM  MM 1017.0  24.0    MM  21.5   MM -1.3    MM
2017 11 29 08 50  MM   MM   MM    MM    MM    MM  MM 1017.7  24.0    MM  21.7   MM -0.7    MM
2017 11 29 07 50  MM   MM   MM    MM    MM    MM  MM 1017.6  24.0    MM  21.5   MM -1.3    MM
2017 11 29 06 50  MM   MM   MM    MM    MM    MM  MM 1018.3  24.2    MM  21.7   MM -1.2    MM
2017 11 29 05 50  MM   MM   MM    MM    MM    MM  MM 1018.4  24.4    MM  21.7   MM -1.1    MM
2017 11 29 04 50  MM   MM   MM    MM    MM    MM  MM 1018.9  24.4    MM  21.7   MM +0.0    MM
2017 11 29 03 50  MM   MM   MM    MM    MM    MM  MM 1019.5  24.6    MM  21.6   MM +1.3    MM
2017 11 29 02 50  MM   MM   MM    MM    MM    MM  MM 1019.5  24.7    MM  21.7   MM +1.4    MM
2017 11 29 01 50  MM   MM   MM    MM    MM    MM  MM 1019.1  24.7    MM  21.5   MM +1.8    MM
2017 11 29 00 50  MM   MM   MM    MM    MM    MM  MM 1018.2  24.8    MM  21.5   MM +0.5    MM
2017 11 28 23 50  MM   MM   MM    MM    MM    MM  MM 1018.1  24.9    MM  21.7   MM +0.8    MM
2017 11 28 22 50  MM   MM   MM    MM    MM    MM  MM 1017.3  25.1    MM  20.7   MM +0.0    MM
2017 11 28 21 50  MM   MM   MM    MM    MM    MM  MM 1017.7  25.1    MM  21.1   MM +0.3    MM
2017 11 28 20 50  MM   MM   MM    MM    MM    MM  MM 1017.3  25.0    MM  21.3   MM -1.0    MM
2017 11 28 19 50  MM   MM   MM    MM    MM    MM  MM 1017.2  25.2    MM  21.0   MM -1.6    MM
2017 11 28 18 50  MM   MM   MM    MM    MM    MM  MM 1017.4  25.0    MM  21.1   MM -2.0    MM
2017 11 28 17 50  MM   MM   MM    MM    MM    MM  MM 1018.3  24.7    MM  21.2   MM -1.0    MM
2017 11 28 16 50  MM   MM   MM    MM    MM    MM  MM 1018.8  24.7    MM  21.0   MM +0.0    MM
2017 11 28 15 50  MM   MM   MM    MM    MM    MM  MM 1019.4  24.5    MM  20.6   MM +1.4    MM
2017 11 28 14 50  MM   MM   MM    MM    MM    MM  MM 1019.3  23.9    MM  20.8   MM +1.6    MM
2017 11 28 13 50  MM   MM   MM    MM    MM    MM  MM 1018.7  23.8    MM  19.7   MM +1.6    MM
2017 11 28 12 50  MM   MM   MM    MM    MM    MM  MM 1018.0  23.8    MM  20.8   MM +1.2    MM
2017 11 28 11 50  MM   MM   MM    MM    MM    MM  MM 1017.7  23.6    MM  20.6   MM +1.3    MM
2017 11 28 10 50  MM   MM   MM    MM    MM    MM  MM 1017.1  23.5    MM  20.4   MM +0.5    MM
2017 11 28 09 50  MM   MM   MM    MM    MM    MM  MM 1016.8  23.5    MM  20.4   MM -0.0    MM
2017 11 28 08 50  MM   MM   MM    MM    MM    MM  MM 1016.4  23.7    MM  20.4   MM -1.0    MM
2017 11 28 07 50  MM   MM   MM    MM    MM    MM  MM 1016.6  23.8    MM  20.4   MM -1.1    MM
2017 11 28 06 50  MM   MM   MM    MM    MM    MM  MM 1016.9  23.7    MM  20.2   MM -1.2    MM
2017 11 28 05 50  MM   MM   MM    MM    MM    MM  MM 1017.4  23.7    MM  19.8   MM -0.6    MM
2017 11 28 04 50  MM   MM   MM    MM    MM    MM  MM 1017.7  23.5    MM  19.0   MM +0.0    MM
2017 11 28 03 50  MM   MM   MM    MM    MM    MM  MM 1018.1  23.5    MM  19.2   MM +1.0    MM
2017 11 28 02 50  MM   MM   MM    MM    MM    MM  MM 1018.0  23.6    MM  19.6   MM +1.6    MM
2017 11 28 01 50  MM   MM   MM    MM    MM    MM  MM 1017.6  23.6    MM  19.5   MM +1.9    MM
2017 11 28 00 50  MM   MM   MM    MM    MM    MM  MM 1017.1  23.5    MM  19.3   MM +1.0    MM
2017 11 27 23 50  MM   MM   MM    MM    MM    MM  MM 1016.4  23.4    MM  19.0   MM +0.6    MM
2017 11 27 22 50  MM   MM   MM    MM    MM    MM  MM 1015.7  23.4    MM  19.4   MM +0.0    MM
2017 11 27 21 50  MM   MM   MM    MM    MM    MM  MM 1016.1  22.6    MM  19.5   MM -0.0    MM
2017 11 27 20 50  MM   MM   MM    MM    MM    MM  MM 1015.8  20.7    MM  18.1   MM -0.3    MM
2017 11 27 19 50  MM   MM   MM    MM    MM    MM  MM 1015.8  23.9    MM  18.9   MM -1.6    MM
2017 11 27 18 50  MM   MM   MM    MM    MM    MM  MM 1016.0  23.9    MM  18.8   MM -1.6    MM
2017 11 27 17 50  MM   MM   MM    MM    MM    MM  MM 1016.1  23.6    MM  18.7   MM -1.6    MM
2017 11 27 16 50  MM   MM   MM    MM    MM    MM  MM 1017.4  23.5    MM  18.2   MM +0.0    MM
2017 11 27 15 50  MM   MM   MM    MM    MM    MM  MM 1017.6  23.4    MM  18.2   MM +0.5    MM
2017 11 27 14 50  MM   MM   MM    MM    MM    MM  MM 1017.7  23.0    MM  18.2   MM +0.8    MM
2017 11 27 13 50  MM   MM   MM    MM    MM    MM  MM 1017.5  22.9    MM  18.2   MM +1.3    MM
2017 11 27 12 50  MM   MM   MM    MM    MM    MM  MM 1017.1  22.9    MM  17.8   MM +1.1    MM
2017 11 27 11 50  MM   MM   MM    MM    MM    MM  MM 1016.9  22.8    MM  18.0   MM +1.0    MM
2017 11 27 10 50  MM   MM   MM    MM    MM    MM  MM 1016.2  22.9    MM  18.1   MM +0.0    MM
2017 11 27 09 50  MM   MM   MM    MM    MM    MM  MM 1016.0  23.0    MM  18.2   MM +0.0    MM
2017 11 27 08 50  MM   MM   MM    MM    MM    MM  MM 1015.9  22.9    MM  18.5   MM -0.8    MM
2017 11 27 07 50  MM   MM   MM    MM    MM    MM  MM 1016.0  23.0    MM  18.4   MM -1.2    MM
2017 11 27 06 50  MM   MM   MM    MM    MM    MM  MM 1016.2  23.2    MM  18.4   MM -1.0    MM
2017 11 27 05 50  MM   MM   MM    MM    MM    MM  MM 1016.7  23.2    MM  18.2   MM -0.6    MM
2017 11 27 04 50  MM   MM   MM    MM    MM    MM  MM 1017.2  23.3    MM  18.3   MM +0.0    MM
2017 11 27 03 50  MM   MM   MM    MM    MM    MM  MM 1017.2  23.7    MM  17.6   MM +0.7    MM
2017 11 27 02 50  MM   MM   MM    MM    MM    MM  MM 1017.3  23.9    MM  18.3   MM +0.9    MM
2017 11 27 01 50  MM   MM   MM    MM    MM    MM  MM 1017.0  24.3    MM  18.6   MM +1.1    MM
2017 11 27 00 50  MM   MM   MM    MM    MM    MM  MM 1016.5  24.4    MM  17.3   MM +0.8    MM
2017 11 26 23 50  MM   MM   MM    MM    MM    MM  MM 1016.4  24.4    MM  17.4   MM +0.5    MM
2017 11 26 22 50  MM   MM   MM    MM    MM    MM  MM 1015.9  24.5    MM  16.4   MM +0.0    MM
2017 11 26 21 50  MM   MM   MM    MM    MM    MM  MM 1015.7  24.3    MM  17.9   MM -0.7    MM
2017 11 26 20 50  MM   MM   MM    MM    MM    MM  MM 1015.9  24.1    MM  17.7   MM -1.0    MM
2017 11 26 19 50  MM   MM   MM    MM    MM    MM  MM 1016.0  24.1    MM  17.6   MM -1.8    MM
2017 11 26 18 50  MM   MM   MM    MM    MM    MM  MM 1016.4  24.0    MM  17.4   MM -2.0    MM
2017 11 26 17 50  MM   MM   MM    MM    MM    MM  MM 1016.9  23.6    MM  15.8   MM -1.8    MM
2017 11 26 16 50  MM   MM   MM    MM    MM    MM  MM 1017.8  23.4    MM  16.6   MM -0.5    MM
2017 11 26 15 50  MM   MM   MM    MM    MM    MM  MM 1018.4  23.8    MM  13.4   MM +0.4    MM
2017 11 26 14 50  MM   MM   MM    MM    MM    MM  MM 1018.7  23.4    MM  13.7   MM +1.6    MM
2017 11 26 13 50  MM   MM   MM    MM    MM    MM  MM 1018.3  23.1    MM  14.6   MM +1.8    MM
2017 11 26 12 50  MM   MM   MM    MM    MM    MM  MM 1018.0  23.0    MM  15.5   MM +2.0    MM
2017 11 26 11 50  MM   MM   MM    MM    MM    MM  MM 1017.1  23.1    MM  15.6   MM +1.0    MM
2017 11 26 10 50  MM   MM   MM    MM    MM    MM  MM 1016.5  23.2    MM  17.2   MM -0.0    MM
2017 11 26 09 50  MM   MM   MM    MM    MM    MM  MM 1016.0  23.2    MM  16.8   MM -0.6    MM
2017 11 26 08 50  MM   MM   MM    MM    MM    MM  MM 1016.1  23.2    MM  16.0   MM -1.1    MM
2017 11 26 07 50  MM   MM   MM    MM    MM    MM  MM 1016.4  23.2    MM  16.4   MM -1.1    MM
2017 11 26 06 50  MM   MM   MM    MM    MM    MM  MM 1016.6  23.3    MM  17.0   MM -1.0    MM
2017 11 26 05 50  MM   MM   MM    MM    MM    MM  MM 1017.2  23.2    MM  17.0   MM +0.0    MM
2017 11 26 04 50  MM   MM   MM    MM    MM    MM  MM 1017.5  23.3    MM  17.2   MM +0.5    MM
2017 11 26 03 50  MM   MM   MM    MM    MM    MM  MM 1017.6  23.3    MM  16.8   MM +1.2    MM
2017 11 26 02 50  MM   MM   MM    MM    MM    MM  MM 1017.2  23.3    MM  15.7   MM +1.1    MM
2017 11 26 01 50  MM   MM   MM    MM    MM    MM  MM 1017.0  23.2    MM  14.8   MM +1.0    MM
2017 11 26 00 50  MM   MM   MM    MM    MM    MM  MM 1016.4  23.5    MM  12.8   MM +0.6    MM
2017 11 25 23 50  MM   MM   MM    MM    MM    MM  MM 1016.1  23.1    MM  15.3   MM +0.5    MM
2017 11 25 22 50  MM   MM   MM    MM    MM    MM  MM 1016.0  23.0    MM  17.4   MM +0.4    MM
2017 11 25 21 50  MM   MM   MM    MM    MM    MM  MM 1015.8  22.9    MM  16.7   MM +0.0    MM
2017 11 25 20 50  MM   MM   MM    MM    MM    MM  MM 1015.6  22.7    MM  16.5   MM -0.8    MM
2017 11 25 19 50  MM   MM   MM    MM    MM    MM  MM 1015.6  22.3    MM  16.9   MM -2.0    MM
2017 11 25 18 50  MM   MM   MM    MM    MM    MM  MM 1015.8  22.3    MM  16.2   MM -2.5    MM
2017 11 25 17 50  MM   MM   MM    MM    MM    MM  MM 1016.4  22.2    MM  16.7   MM -2.0    MM
2017 11 25 16 50  MM   MM   MM    MM    MM    MM  MM 1017.6  22.2    MM  16.4   MM +0.0    MM
2017 11 25 15 50  MM   MM   MM    MM    MM    MM  MM 1018.3  22.4    MM  16.4   MM +1.1    MM
2017 11 25 14 50  MM   MM   MM    MM    MM    MM  MM 1018.4  22.4    MM  16.2   MM +1.7    MM
2017 11 25 13 50  MM   MM   MM    MM    MM    MM  MM 1017.8  22.5    MM  16.2   MM +1.6    MM
2017 11 25 12 50  MM   MM   MM    MM    MM    MM  MM 1017.2  22.4    MM  16.0   MM +1.6    MM
2017 11 25 11 50  MM   MM   MM    MM    MM    MM  MM 1016.7  22.3    MM  16.0   MM +1.4    MM
2017 11 25 10 50  MM   MM   MM    MM    MM    MM  MM 1016.2  22.4    MM  16.4   MM +1.1    MM
2017 11 25 09 50  MM   MM   MM    MM    MM    MM  MM 1015.6  22.5    MM  15.7   MM -0.0    MM
2017 11 25 08 50  MM   MM   MM    MM    MM    MM  MM 1015.3  22.4    MM  16.4   MM -0.6    MM
2017 11 25 07 50  MM   MM   MM    MM    MM    MM  MM 1015.1  22.5    MM  16.5   MM -1.0    MM
2017 11 25 06 50  MM   MM   MM    MM    MM    MM  MM 1015.6  22.8    MM  16.9   MM -0.6    MM
2017 11 25 05 50  MM   MM   MM    MM    MM    MM  MM 1015.9  23.0    MM  16.7   MM +0.0    MM
2017 11 25 04 50  MM   MM   MM    MM    MM    MM  MM 1016.1  23.1    MM  16.8   MM +0.6    MM
2017 11 25 03 50  MM   MM   MM    MM    MM    MM  MM 1016.2  23.1    MM  17.2   MM +1.3    MM
2017 11 25 02 50  MM   MM   MM    MM    MM    MM  MM 1015.8  23.2    MM  17.4   MM +1.4    MM
2017 11 25 01 50  MM   MM   MM    MM    MM    MM  MM 1015.5  23.3    MM  17.9   MM +1.9    MM
2017 11 25 00 50  MM   MM   MM    MM    MM    MM  MM 1014.9  23.4    MM  17.5   MM +1.6    MM
2017 11 24 23 50  MM   MM   MM    MM    MM    MM  MM 1014.4  23.6    MM  17.6   MM +1.3    MM
2017 11 24 22 50  MM   MM   MM    MM    MM    MM  MM 1013.6  23.6    MM  17.9   MM +0.4    MM
2017 11 24 21 50  MM   MM   MM    MM    MM    MM  MM 1013.3  23.8    MM  17.9   MM +0.0    MM
2017 11 24 20 50  MM   MM   MM    MM    MM    MM  MM 1013.1  24.0    MM  18.2   MM -0.3    MM
2017 11 24 19 50  MM   MM   MM    MM    MM    MM  MM 1013.2  24.1    MM  18.4   MM -0.7    MM
2017 11 24 18 50  MM   MM   MM    MM    MM    MM  MM 1013.2  24.1    MM  18.6   MM -1.1    MM
2017 11 24 17 50  MM   MM   MM    MM    MM    MM  MM 1013.4  24.0    MM  17.9   MM -0.6    MM
2017 11 24 16 50  MM   MM   MM    MM    MM    MM  MM 1013.9  24.0    MM  18.9   MM +0.4    MM
2017 11 24 15 50  MM   MM   MM    MM    MM    MM  MM 1014.3  24.1    MM  19.1   MM +1.5    MM
2017 11 24 14 50  MM   MM   MM    MM    MM    MM  MM 1014.0  24.0    MM  19.3   MM +1.9    MM
2017 11 24 13 50  MM   MM   MM    MM    MM    MM  MM 1013.5  23.7    MM  19.6   MM +2.3    MM
2017 11 24 12 50  MM   MM   MM    MM    MM    MM  MM 1012.8  23.9    MM  20.1   MM +1.7    MM
2017 11 24 11 50  MM   MM   MM    MM    MM    MM  MM 1012.1  24.9    MM  19.1   MM +1.1    MM
2017 11 24 10 50  MM   MM   MM    MM    MM    MM  MM 1011.2  24.8    MM  19.1   MM +0.3    MM
2017 11 24 09 50  MM   MM   MM    MM    MM    MM  MM 1011.1  24.9    MM  19.4   MM -0.4    MM
2017 11 24 08 50  MM   MM   MM    MM    MM    MM  MM 1011.0  24.7    MM  19.9   MM -1.2    MM
2017 11 24 07 50  MM   MM   MM    MM    MM    MM  MM 1010.9  24.2    MM  20.3   MM -1.3    MM
2017 11 24 06 50  MM   MM   MM    MM    MM    MM  MM 1011.5  24.2    MM  20.1   MM -0.6    MM
2017 11 24 05 50  MM   MM   MM    MM    MM    MM  MM 1012.2  24.3    MM  19.6   MM -0.3    MM
2017 11 24 04 50  MM   MM   MM    MM    MM    MM  MM 1012.2  24.2    MM  19.3   MM +0.0    MM
2017 11 24 03 50  MM   MM   MM    MM    MM    MM  MM 1012.1  23.2    MM  19.5   MM -0.3    MM
2017 11 24 02 50  MM   MM   MM    MM    MM    MM  MM 1012.5  22.9    MM  19.5   MM +1.1    MM
2017 11 24 01 50  MM   MM   MM    MM    MM    MM  MM 1012.4  23.7    MM  19.3   MM +1.5    MM
2017 11 24 00 50  MM   MM   MM    MM    MM    MM  MM 1012.4  21.9    MM  19.7   MM +1.6    MM
2017 11 23 23 50  MM   MM   MM    MM    MM    MM  MM 1011.4  25.9    MM  20.5   MM +0.9    MM
2017 11 23 22 50  MM   MM   MM    MM    MM    MM  MM 1010.9  25.8    MM  20.9   MM +0.3    MM
2017 11 23 21 50  MM   MM   MM    MM    MM    MM  MM 1010.8  26.0    MM  20.5   MM -0.3    MM
2017 11 23 20 50  MM   MM   MM    MM    MM    MM  MM 1010.5  25.9    MM  20.1   MM -1.4    MM
2017 11 23 19 50  MM   MM   MM    MM    MM    MM  MM 1010.6  26.0    MM  20.5   MM -1.7    MM
2017 11 23 18 50  MM   MM   MM    MM    MM    MM  MM 1011.1  25.9    MM  20.7   MM -1.8    MM
2017 11 23 17 50  MM   MM   MM    MM    MM    MM  MM 1011.9  25.8    MM  20.8   MM -1.3    MM
2017 11 23 16 50  MM   MM   MM    MM    MM    MM  MM 1012.3  25.7    MM  21.5   MM -1.0    MM
2017 11 23 15 50  MM   MM   MM    MM    MM    MM  MM 1012.9  25.7    MM  21.3   MM +0.0    MM
2017 11 23 14 50  MM   MM   MM    MM    MM    MM  MM 1013.2  25.9    MM  21.5   MM +0.0    MM
2017 11 23 13 50  MM   MM   MM    MM    MM    MM  MM 1013.3  25.8    MM  20.4   MM +0.9    MM
2017 11 23 12 50  MM   MM   MM    MM    MM    MM  MM 1012.9  24.8    MM  20.2   MM -0.0    MM
2017 11 23 11 50  MM   MM   MM    MM    MM    MM  MM 1013.0  24.2    MM  21.0   MM -0.0    MM
2017 11 23 10 50  MM   MM   MM    MM    MM    MM  MM 1012.4  23.1    MM  19.8   MM +0.0    MM
2017 11 23 09 50  MM   MM   MM    MM    MM    MM  MM 1012.8  22.4    MM  19.8   MM -0.0    MM
2017 11 23 08 50  MM   MM   MM    MM    MM    MM  MM 1012.8  22.1    MM  18.0   MM -0.5    MM
2017 11 23 07 50  MM   MM   MM    MM    MM    MM  MM 1012.4  25.9    MM  20.3   MM -1.3    MM
2017 11 23 06 50  MM   MM   MM    MM    MM    MM  MM 1012.9  25.9    MM  20.2   MM -1.4    MM
2017 11 23 05 50  MM   MM   MM    MM    MM    MM  MM 1013.3  26.0    MM  20.1   MM -1.7    MM
2017 11 23 04 50  MM   MM   MM    MM    MM    MM  MM 1013.7  26.0    MM  20.6   MM -1.1    MM
2017 11 23 03 50  MM   MM   MM    MM    MM    MM  MM 1014.3  25.3    MM  21.9   MM   MM    MM
2017 11 23 02 50  MM   MM   MM    MM    MM    MM  MM 1015.0  25.2    MM  21.7   MM +1.3    MM
2017 11 23 01 50  MM   MM   MM    MM    MM    MM  MM 1014.8  25.2    MM  21.5   MM +1.2    MM
2017 11 22 23 50  MM   MM   MM    MM    MM    MM  MM 1013.7  25.3    MM  21.7   MM +1.1    MM
2017 11 22 22 50  MM   MM   MM    MM    MM    MM  MM 1013.6  25.8    MM  19.7   MM +0.8    MM
2017 11 22 21 50  MM   MM   MM    MM    MM    MM  MM 1013.1  25.9    MM  19.9   MM -0.0    MM
2017 11 22 20 50  MM   MM   MM    MM    MM    MM  MM 1012.6  25.9    MM  19.8   MM -0.7    MM
2017 11 22 19 50  MM   MM   MM    MM    MM    MM  MM 1012.8  26.0    MM  19.8   MM -1.3    MM
2017 11 22 18 50  MM   MM   MM    MM    MM    MM  MM 1012.9  25.8    MM  20.1   MM -1.9    MM
2017 11 22 17 50  MM   MM   MM    MM    MM    MM  MM 1013.3  25.3    MM  20.8   MM -1.7    MM
