#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 04 06 00 352  7.4  8.6 99.00 99.00 99.00 999 1018.4  13.4 999.0   2.9 99.0  1.73
2010 01 04 07 00 354  6.2  7.3 99.00 99.00 99.00 999 1017.9  13.4 999.0   1.7 99.0  1.28
2010 01 04 08 00 344  5.0  5.7 99.00 99.00 99.00 999 1018.0  13.2 999.0   4.2 99.0  0.69
2010 01 04 09 00 347  8.4  9.9 99.00 99.00 99.00 999 1018.2  13.2 999.0   3.3 99.0  0.15
2010 01 04 10 00   5  6.6  7.0 99.00 99.00 99.00 999 1017.5  12.8 999.0   2.7 99.0 -0.15
2010 01 04 11 00   1  9.2 10.1 99.00 99.00 99.00 999 1018.1  12.2 999.0   1.9 99.0 -0.15
2010 01 04 12 00 356  7.4  8.2 99.00 99.00 99.00 999 1019.4  11.2 999.0   2.3 99.0  0.14
2010 01 04 13 00   5  7.9  8.6 99.00 99.00 99.00 999 1018.8  11.2 999.0   0.3 99.0  0.62
2010 01 04 14 00   3  7.9  9.3 99.00 99.00 99.00 999 1019.8  11.4 999.0   0.5 99.0  1.02
2010 01 04 15 00 359  6.8  7.9 99.00 99.00 99.00 999 1020.8  11.2 999.0   0.8 99.0  1.42
2010 01 04 16 00 352  8.6  9.5 99.00 99.00 99.00 999 1019.8  11.5 999.0   1.1 99.0  1.72
2010 01 04 17 00 352  9.5 10.3 99.00 99.00 99.00 999 1019.6  12.1 999.0   1.3 99.0  1.83
2010 01 04 18 00 358 10.8 11.6 99.00 99.00 99.00 999 1018.5  12.2 999.0   2.3 99.0  1.61
2010 01 04 19 00 357 10.1 10.9 99.00 99.00 99.00 999 1017.8  12.5 999.0   3.4 99.0  1.28
2010 01 04 20 00 345 10.3 10.9 99.00 99.00 99.00 999 1018.2  12.7 999.0   4.6 99.0  0.85
2010 01 05 00 00 337 10.7 11.4 99.00 99.00 99.00 999 1019.5  13.9 999.0   7.9 99.0  0.30
2010 01 05 01 00 347  9.2  9.9 99.00 99.00 99.00 999 1019.9  14.0 999.0   8.4 99.0  0.72
2010 01 05 02 00 345 10.0 11.0 99.00 99.00 99.00 999 1020.2  14.4 999.0   8.4 99.0  1.08
2010 01 05 03 00 340  9.2 10.7 99.00 99.00 99.00 999 1020.8  14.7 999.0   8.3 99.0  1.42
2010 01 05 04 00 354  9.4 10.0 99.00 99.00 99.00 999 1020.4  14.3 999.0   8.6 99.0  1.77
2010 01 05 05 00 350  8.7 10.1 99.00 99.00 99.00 999 1020.3  14.4 999.0   8.4 99.0  1.91
2010 01 05 06 00  36  5.4  6.4 99.00 99.00 99.00 999 1019.9  13.3 999.0   9.3 99.0  1.82
2010 01 05 07 00  16  8.2  9.0 99.00 99.00 99.00 999 1019.9  13.3 999.0   8.5 99.0  1.48
2010 01 05 08 00  16  8.0  9.1 99.00 99.00 99.00 999 1020.1  12.6 999.0   7.9 99.0  1.04
2010 01 05 09 00  21  6.2  6.8 99.00 99.00 99.00 999 1020.5  12.0 999.0   6.8 99.0  0.55
2010 01 05 10 00  34  6.1  6.9 99.00 99.00 99.00 999 1020.3  11.9 999.0   6.8 99.0  0.04
2010 01 05 11 00  43  6.6  7.7 99.00 99.00 99.00 999 1020.4  12.0 999.0   7.1 99.0 -0.11
2010 01 05 12 00  46  4.9  5.5 99.00 99.00 99.00 999 1021.2  12.0 999.0   6.6 99.0 -0.06
2010 01 05 13 00  48  4.1  4.9 99.00 99.00 99.00 999 1021.4  12.4 999.0   6.6 99.0  0.27
2010 01 05 14 00  79  2.4  3.0 99.00 99.00 99.00 999 1022.1  13.3 999.0   5.8 99.0  0.67
2010 01 05 15 00  34  7.3  8.3 99.00 99.00 99.00 999 1022.3  13.3 999.0   7.1 99.0  1.08
2010 01 05 16 00  27  7.7  9.3 99.00 99.00 99.00 999 1022.8  12.6 999.0   5.7 99.0  1.37
2010 01 05 17 00  39  7.3  8.0 99.00 99.00 99.00 999 1022.0  12.2 999.0   5.0 99.0  1.57
2010 01 05 18 00  16  7.1  7.9 99.00 99.00 99.00 999 1021.3  12.7 999.0   6.0 99.0  1.59
2010 01 05 19 00  11  5.5  6.1 99.00 99.00 99.00 999 1021.3  12.7 999.0   6.5 99.0  1.39
2010 01 05 20 00 357  9.3 10.0 99.00 99.00 99.00 999 1020.9  13.1 999.0   6.1 99.0  1.03
2010 01 05 21 00 347  9.0  9.7 99.00 99.00 99.00 999 1021.0  12.9 999.0   6.4 99.0  0.62
2010 01 05 22 00 335 11.1 11.9 99.00 99.00 99.00 999 1021.0  13.6 999.0   8.2 99.0  0.17
2010 01 05 23 00 349 10.7 11.6 99.00 99.00 99.00 999 1021.5  12.8 999.0   7.7 99.0 -0.08
2010 01 06 00 00 344  9.0  9.4 99.00 99.00 99.00 999 1022.1  12.7 999.0   7.4 99.0 -0.18
2010 01 06 01 00 342  7.6  8.3 99.00 99.00 99.00 999 1022.4  12.6 999.0   7.2 99.0  0.03
2010 01 06 02 00 357  9.5 10.6 99.00 99.00 99.00 999 1022.7  12.6 999.0   7.4 99.0  0.37
2010 01 06 03 00 358 10.0 10.7 99.00 99.00 99.00 999 1023.0  12.3 999.0   7.0 99.0  0.75
2010 01 06 04 00 352 10.9 12.7 99.00 99.00 99.00 999 1022.9  11.8 999.0   6.9 99.0  1.12
2010 01 06 05 00  10  9.1 10.1 99.00 99.00 99.00 999 1022.7  10.7 999.0   6.5 99.0  1.40
2010 01 06 06 00   5  9.4 10.6 99.00 99.00 99.00 999 1022.4  10.2 999.0   6.5 99.0  1.49
2010 01 06 07 00 346 12.0 13.3 99.00 99.00 99.00 999 1021.8  11.0 999.0   6.4 99.0  1.46
2010 01 06 08 00 358 10.9 12.8 99.00 99.00 99.00 999 1021.7  10.9 999.0   6.4 99.0  1.19
2010 01 06 09 00   3  9.7 10.8 99.00 99.00 99.00 999 1021.9  10.8 999.0   6.5 99.0  0.88
2010 01 06 10 00  16  8.5  9.6 99.00 99.00 99.00 999 1022.0   9.7 999.0   5.9 99.0  0.48
2010 01 06 11 00   7  9.8 10.7 99.00 99.00 99.00 999 1022.4   9.5 999.0   4.9 99.0  0.19
2010 01 06 12 00  17  8.6  9.5 99.00 99.00 99.00 999 1023.1   9.5 999.0   5.0 99.0  0.08
2010 01 06 13 00  20  8.3  8.9 99.00 99.00 99.00 999 1023.7   9.4 999.0   4.1 99.0  0.15
2010 01 06 14 00  25  8.3  9.3 99.00 99.00 99.00 999 1024.0   8.9 999.0   3.3 99.0  0.46
2010 01 06 15 00  28  7.1  7.9 99.00 99.00 99.00 999 1024.3   9.2 999.0   3.4 99.0  0.84
2010 01 06 16 00  18  6.7  7.5 99.00 99.00 99.00 999 1024.4   9.9 999.0   4.1 99.0  1.25
2010 01 06 17 00   4  6.9  8.0 99.00 99.00 99.00 999 1023.9  10.3 999.0   3.7 99.0  1.58
2010 01 06 18 00   1  7.3  8.8 99.00 99.00 99.00 999 1022.8  11.2 999.0   4.8 99.0  1.75
2010 01 06 19 00 354  8.8  9.6 99.00 99.00 99.00 999 1022.3  11.9 999.0   5.0 99.0  1.71
2010 01 06 20 00 347  9.0  9.8 99.00 99.00 99.00 999 1022.0  11.8 999.0   4.5 99.0  1.52
2010 01 06 21 00 346  7.1  8.1 99.00 99.00 99.00 999 1022.1  12.0 999.0   4.9 99.0  1.18
2010 01 06 22 00 340  8.2  9.2 99.00 99.00 99.00 999 1022.0  12.4 999.0   4.9 99.0  0.79
2010 01 06 23 00 337  8.8  9.8 99.00 99.00 99.00 999 1022.1  12.6 999.0   6.7 99.0  0.41
2010 01 07 00 00 335  9.2 10.2 99.00 99.00 99.00 999 1022.0  12.6 999.0   6.7 99.0  0.14
2010 01 07 01 00 338 11.2 11.9 99.00 99.00 99.00 999 1022.2  12.5 999.0   6.4 99.0  0.04
2010 01 07 02 00 344  9.3 10.4 99.00 99.00 99.00 999 1022.9  12.5 999.0   6.2 99.0  0.17
2010 01 07 03 00 351  7.5  8.4 99.00 99.00 99.00 999 1023.2  12.5 999.0   5.3 99.0  0.45
2010 01 07 04 00 348  7.7  8.6 99.00 99.00 99.00 999 1023.3  12.5 999.0   6.0 99.0  0.79
2010 01 07 05 00   3  6.8  7.4 99.00 99.00 99.00 999 1022.8  12.3 999.0   5.4 99.0  1.10
2010 01 07 06 00   4  8.6  9.3 99.00 99.00 99.00 999 1021.7  11.9 999.0   4.1 99.0  1.39
2010 01 07 07 00   5  8.6  9.6 99.00 99.00 99.00 999 1021.3  11.9 999.0   4.4 99.0  1.45
2010 01 07 08 00  10 10.0 10.6 99.00 99.00 99.00 999 1020.7  11.2 999.0   3.3 99.0  1.39
2010 01 07 10 00  16  7.6  8.5 99.00 99.00 99.00 999 1021.0  10.3 999.0   3.2 99.0  0.96
2010 01 07 11 00  20  7.9  8.9 99.00 99.00 99.00 999 1021.8   9.9 999.0   3.8 99.0  0.68
2010 01 07 13 00  35  7.2  8.5 99.00 99.00 99.00 999 1023.2   9.5 999.0   3.0 99.0  0.37
2010 01 07 14 00  39  6.2  6.8 99.00 99.00 99.00 999 1023.6   9.7 999.0   2.5 99.0  0.41
2010 01 07 15 00  27  5.5  6.7 99.00 99.00 99.00 999 1024.1  10.3 999.0   2.7 99.0  0.72
2010 01 07 16 00  16  5.5  5.8 99.00 99.00 99.00 999 1023.6  10.5 999.0   0.9 99.0  1.05
2010 01 07 17 00  14  5.6  6.3 99.00 99.00 99.00 999 1022.7  11.1 999.0   0.9 99.0  1.41
2010 01 07 18 00  39  4.0  4.4 99.00 99.00 99.00 999 1021.7  11.9 999.0   1.2 99.0  1.68
