#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 07 21 00 336  7.3  7.8 99.00 99.00 99.00 999 1020.4  23.0 999.0  18.9 99.0 99.00
2015 01 07 22 00 335  8.5  9.4 99.00 99.00 99.00 999 1020.9  22.7 999.0  18.0 99.0 99.00
2015 01 07 23 00 329  7.3  7.9 99.00 99.00 99.00 999 1021.2  23.0 999.0  16.9 99.0 99.00
2015 01 08 00 00 346  5.6  6.3 99.00 99.00 99.00 999 1021.3  23.4 999.0  15.2 99.0 99.00
2015 01 08 01 00 336  8.0  8.4 99.00 99.00 99.00 999 1021.5  23.4 999.0  11.5 99.0 99.00
2015 01 08 02 00 339  8.5  9.0 99.00 99.00 99.00 999 1021.8  22.2 999.0  13.6 99.0 99.00
2015 01 08 03 00 339  9.1  9.7 99.00 99.00 99.00 999 1021.8  21.8 999.0  13.2 99.0 99.00
2015 01 08 04 00 343  9.6 10.8 99.00 99.00 99.00 999 1021.9  22.2 999.0  10.6 99.0 99.00
2015 01 08 05 00 348 10.5 11.1 99.00 99.00 99.00 999 1021.9  21.5 999.0  12.9 99.0 99.00
2015 01 08 06 00 356 11.1 13.0 99.00 99.00 99.00 999 1022.0  21.1 999.0  13.0 99.0 99.00
2015 01 08 07 00   2 12.4 13.4 99.00 99.00 99.00 999 1022.1  19.7 999.0  11.3 99.0 99.00
2015 01 08 08 00   1 11.6 12.9 99.00 99.00 99.00 999 1022.1  19.1 999.0   9.3 99.0 99.00
2015 01 08 09 00   1 12.9 14.0 99.00 99.00 99.00 999 1022.4  18.1 999.0   5.2 99.0 99.00
2015 01 08 10 00  19 12.8 14.6 99.00 99.00 99.00 999 1022.4  17.3 999.0   7.5 99.0 99.00
2015 01 08 11 00  14 13.3 14.2 99.00 99.00 99.00 999 1022.7  16.8 999.0   9.0 99.0 99.00
2015 01 08 12 00  16 13.8 15.3 99.00 99.00 99.00 999 1023.1  16.6 999.0   8.9 99.0 99.00
2015 01 08 13 00  19 14.6 15.5 99.00 99.00 99.00 999 1023.5  16.3 999.0  10.0 99.0 99.00
2015 01 08 14 00  24 13.0 14.5 99.00 99.00 99.00 999 1024.0  16.1 999.0  10.6 99.0 99.00
2015 01 08 15 00  29 13.2 14.7 99.00 99.00 99.00 999 1024.3  16.5 999.0  11.0 99.0 99.00
2015 01 08 16 00  29 11.5 12.1 99.00 99.00 99.00 999 1024.0  17.0 999.0  11.2 99.0 99.00
2015 01 08 17 00  35 10.7 11.5 99.00 99.00 99.00 999 1023.2  17.7 999.0  11.1 99.0 99.00
2015 01 08 18 00  37 10.5 11.5 99.00 99.00 99.00 999 1022.3  18.3 999.0  11.8 99.0 99.00
2015 01 08 19 00  36 10.6 11.4 99.00 99.00 99.00 999 1021.7  18.9 999.0  12.1 99.0 99.00
2015 01 08 20 00  50 11.0 12.0 99.00 99.00 99.00 999 1021.4  20.1 999.0  12.8 99.0 99.00
2015 01 08 21 00  58 11.5 12.6 99.00 99.00 99.00 999 1021.6  21.1 999.0  13.9 99.0 99.00
2015 01 08 22 00  58 11.3 12.3 99.00 99.00 99.00 999 1021.9  21.9 999.0  11.8 99.0 99.00
2015 01 08 23 00  69 11.4 12.3 99.00 99.00 99.00 999 1022.3  21.8 999.0  12.2 99.0 99.00
