YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 07 15 166  6.0  6.4 99.00 99.00 99.00 999 1018.5 999.0  25.1 999.0 99.0
97 01 07 16 178  5.9  6.6 99.00 99.00 99.00 999 1018.9 999.0  25.1 999.0 99.0
97 01 07 17 193  5.4  6.1 99.00 99.00 99.00 999 1018.5 999.0  25.2 999.0 99.0
97 01 07 18 186  5.6  5.9 99.00 99.00 99.00 999 1017.5 999.0  25.2 999.0 99.0
97 01 07 19 181  6.5  6.7 99.00 99.00 99.00 999 1016.6 999.0  25.0 999.0 99.0
97 01 07 20 181  7.6  8.5 99.00 99.00 99.00 999 1016.3 999.0  25.1 999.0 99.0
97 01 07 21 189  7.9  8.3 99.00 99.00 99.00 999 1016.3 999.0  25.1 999.0 99.0
97 01 07 22 190  6.9  7.4 99.00 99.00 99.00 999 1016.5 999.0  25.2 999.0 99.0
97 01 07 23 187  5.3  5.5 99.00 99.00 99.00 999 1016.8 999.0  25.2 999.0 99.0
97 01 08 00 190  5.4  5.7 99.00 99.00 99.00 999 1017.0 999.0  25.1 999.0 99.0
97 01 08 01 206  4.8  5.1 99.00 99.00 99.00 999 1017.6 999.0  25.1 999.0 99.0
97 01 08 02 238  6.1  6.5 99.00 99.00 99.00 999 1018.1 999.0  25.1 999.0 99.0
97 01 08 03 247  6.1  6.4 99.00 99.00 99.00 999 1018.4 999.0  25.0 999.0 99.0
97 01 08 04 274  5.1  5.6 99.00 99.00 99.00 999 1018.6 999.0  24.8 999.0 99.0
97 01 08 05 281  5.1  5.4 99.00 99.00 99.00 999 1018.4 999.0  24.7 999.0 99.0
97 01 08 06 279  3.8  4.1 99.00 99.00 99.00 999 1017.9 999.0  24.7 999.0 99.0
97 01 08 07 263  3.4  3.9 99.00 99.00 99.00 999 1017.6 999.0  24.7 999.0 99.0
97 01 08 08 258  2.5  2.9 99.00 99.00 99.00 999 1017.4 999.0  24.9 999.0 99.0
97 01 08 09 247  2.7  3.1 99.00 99.00 99.00 999 1017.0 999.0  24.9 999.0 99.0
97 01 08 10 255  2.5  2.8 99.00 99.00 99.00 999 1017.0 999.0  24.9 999.0 99.0
