#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2017 01 04 12 50 236  2.9  3.4 99.00 99.00 99.00 999 1014.4  24.6 999.0  22.9 99.0 99.00
2017 01 04 13 50 253  3.4  3.7 99.00 99.00 99.00 999 1015.2  24.8 999.0  22.9 99.0 99.00
2017 01 04 14 50 270  2.7  3.1 99.00 99.00 99.00 999 1015.5  25.0 999.0  22.9 99.0 99.00
2017 01 04 15 50 309  2.6  3.7 99.00 99.00 99.00 999 1015.6  24.9 999.0  22.7 99.0 99.00
2017 01 04 16 50 307  4.0  4.7 99.00 99.00 99.00 999 1015.1  23.9 999.0  21.2 99.0 99.00
2017 01 04 17 50 247  5.0  5.8 99.00 99.00 99.00 999 1014.0  23.9 999.0  20.0 99.0 99.00
2017 01 04 18 50 269  3.3  3.9 99.00 99.00 99.00 999 1012.9  24.8 999.0  20.8 99.0 99.00
2017 01 04 19 50 261  5.8  6.6 99.00 99.00 99.00 999 1012.6  24.8 999.0  21.5 99.0 99.00
2017 01 04 20 50 283  5.3  6.0 99.00 99.00 99.00 999 1012.6  25.0 999.0  21.0 99.0 99.00
2017 01 04 21 50 291  4.6  5.1 99.00 99.00 99.00 999 1012.8  25.0 999.0  21.1 99.0 99.00
2017 01 04 22 50 285  4.2  5.5 99.00 99.00 99.00 999 1012.7  24.9 999.0  21.2 99.0 99.00
2017 01 04 23 50 278  5.5  6.0 99.00 99.00 99.00 999 1012.9  25.0 999.0  21.2 99.0 99.00
2017 01 05 00 50 309  4.3  4.8 99.00 99.00 99.00 999 1013.1  25.0 999.0  21.9 99.0 99.00
2017 01 05 01 50 309  3.2  3.7 99.00 99.00 99.00 999 1013.1  24.6 999.0  21.1 99.0 99.00
2017 01 05 02 50 281  4.6  5.2 99.00 99.00 99.00 999 1013.4  24.8 999.0  21.5 99.0 99.00
2017 01 05 03 50 301  4.0  4.8 99.00 99.00 99.00 999 1013.9  24.6 999.0  21.0 99.0 99.00
2017 01 05 04 50 279  4.2  5.0 99.00 99.00 99.00 999 1013.9  24.4 999.0  21.1 99.0 99.00
2017 01 05 05 50 253  4.1  4.9 99.00 99.00 99.00 999 1013.2  24.4 999.0  20.9 99.0 99.00
2017 01 05 06 50 341  5.0  6.5 99.00 99.00 99.00 999 1013.2  24.4 999.0  20.8 99.0 99.00
2017 01 05 07 50   3  5.9  6.9 99.00 99.00 99.00 999 1013.3  23.9 999.0  20.8 99.0 99.00
2017 01 05 08 50  65  2.9  3.4 99.00 99.00 99.00 999 1013.0  23.2 999.0  20.8 99.0 99.00
2017 01 05 09 50  80  2.3  2.7 99.00 99.00 99.00 999 1013.2  23.1 999.0  20.6 99.0 99.00
2017 01 05 10 50  34  4.6  5.3 99.00 99.00 99.00 999 1013.6  23.1 999.0  20.3 99.0 99.00
2017 01 05 11 50  39  5.1  5.9 99.00 99.00 99.00 999 1014.4  22.8 999.0  19.5 99.0 99.00
2017 01 05 12 50  62  3.9  4.7 99.00 99.00 99.00 999 1014.6  22.7 999.0  18.7 99.0 99.00
2017 01 05 13 50  83  3.6  4.3 99.00 99.00 99.00 999 1015.0  22.9 999.0  18.1 99.0 99.00
2017 01 05 14 50  65  3.6  4.3 99.00 99.00 99.00 999 1015.4  23.0 999.0  18.1 99.0 99.00
2017 01 05 15 50 101  2.1  2.8 99.00 99.00 99.00 999 1015.2  23.3 999.0  18.2 99.0 99.00
2017 01 05 16 50  74  1.2  1.9 99.00 99.00 99.00 999 1015.4  23.3 999.0  18.1 99.0 99.00
2017 01 05 17 50 147  1.3  1.8 99.00 99.00 99.00 999 1014.4  23.5 999.0  18.4 99.0 99.00
2017 01 05 18 50 107  1.5  2.1 99.00 99.00 99.00 999 1013.4  23.3 999.0  18.9 99.0 99.00
2017 01 05 19 50  70  1.1  1.6 99.00 99.00 99.00 999 1013.1  23.2 999.0  18.9 99.0 99.00
2017 01 05 20 50  50  1.3  2.0 99.00 99.00 99.00 999 1013.2  23.3 999.0  18.9 99.0 99.00
2017 01 05 21 50  46  1.9  2.4 99.00 99.00 99.00 999 1013.5  23.4 999.0  19.3 99.0 99.00
2017 01 05 22 50  58  1.9  2.3 99.00 99.00 99.00 999 1013.6  23.3 999.0  19.4 99.0 99.00
2017 01 05 23 50  43  2.5  3.0 99.00 99.00 99.00 999 1014.0  23.3 999.0  19.4 99.0 99.00
2017 01 06 00 50  56  2.8  3.5 99.00 99.00 99.00 999 1014.7  23.4 999.0  19.4 99.0 99.00
2017 01 06 01 50  61  3.6  4.2 99.00 99.00 99.00 999 1015.4  23.4 999.0  19.4 99.0 99.00
2017 01 06 02 50  67  3.4  4.0 99.00 99.00 99.00 999 1015.7  23.3 999.0  19.6 99.0 99.00
2017 01 06 03 50  89  3.4  4.1 99.00 99.00 99.00 999 1015.9  23.3 999.0  19.2 99.0 99.00
2017 01 06 04 50  83  4.4  5.2 99.00 99.00 99.00 999 1015.5  23.1 999.0  19.1 99.0 99.00
2017 01 06 05 50 102  4.4  5.1 99.00 99.00 99.00 999 1015.3  23.0 999.0  18.9 99.0 99.00
2017 01 06 06 50 114  4.6  5.5 99.00 99.00 99.00 999 1014.9  23.0 999.0  18.7 99.0 99.00
2017 01 06 07 50 111  4.1  4.9 99.00 99.00 99.00 999 1014.6  23.1 999.0  18.9 99.0 99.00
2017 01 06 08 50 106  3.9  4.5 99.00 99.00 99.00 999 1014.7  23.3 999.0  19.2 99.0 99.00
2017 01 06 09 50 115  5.3  6.3 99.00 99.00 99.00 999 1014.4  23.4 999.0  19.6 99.0 99.00
2017 01 06 10 50 116  5.2  6.0 99.00 99.00 99.00 999 1014.8  23.6 999.0  20.1 99.0 99.00
2017 01 06 11 50 123  5.9  6.7 99.00 99.00 99.00 999 1015.7  24.0 999.0  20.8 99.0 99.00
2017 01 06 12 50 999 99.0 99.0 99.00 99.00 99.00 999 1016.2  24.6 999.0  21.1 99.0 99.00
2017 01 06 13 50 150  4.4  5.2 99.00 99.00 99.00 999 1016.6  24.5 999.0  21.2 99.0 99.00
2017 01 06 14 50 147  4.4  5.7 99.00 99.00 99.00 999 1017.2  25.2 999.0  21.5 99.0 99.00
2017 01 06 15 50 999 99.0 99.0 99.00 99.00 99.00 999 1017.0  25.0 999.0  21.6 99.0 99.00
2017 01 06 16 50 999 99.0 99.0 99.00 99.00 99.00 999 1016.9  25.2 999.0  21.7 99.0 99.00
2017 01 06 17 50 999 99.0 99.0 99.00 99.00 99.00 999 1015.8  25.4 999.0  21.7 99.0 99.00
2017 01 06 18 50 143  3.7  4.5 99.00 99.00 99.00 999 1015.2  25.5 999.0  21.9 99.0 99.00
2017 01 06 19 50 170  6.9  7.7 99.00 99.00 99.00 999 1014.3  25.5 999.0  21.4 99.0 99.00
2017 01 06 20 50 168  5.8  7.0 99.00 99.00 99.00 999 1014.3  25.6 999.0  21.7 99.0 99.00
2017 01 06 21 50 158  5.0  5.5 99.00 99.00 99.00 999 1014.6  25.6 999.0  22.0 99.0 99.00
2017 01 06 22 50 149  5.2  5.8 99.00 99.00 99.00 999 1014.5  25.4 999.0  22.1 99.0 99.00
2017 01 06 23 50 145  4.6  5.1 99.00 99.00 99.00 999 1014.7  25.4 999.0  22.3 99.0 99.00
2017 01 07 00 50 148  4.0  4.6 99.00 99.00 99.00 999 1015.6  25.6 999.0  22.5 99.0 99.00
2017 01 07 01 50 158  4.1  4.4 99.00 99.00 99.00 999 1016.4  25.6 999.0  22.5 99.0 99.00
2017 01 07 02 50 170  5.4  6.4 99.00 99.00 99.00 999 1016.5  25.6 999.0  22.7 99.0 99.00
2017 01 07 03 50 175  5.5  6.0 99.00 99.00 99.00 999 1016.6  25.9 999.0  23.0 99.0 99.00
2017 01 07 04 50 209  6.0  7.2 99.00 99.00 99.00 999 1016.5  25.6 999.0  22.4 99.0 99.00
2017 01 07 05 50 232  5.9  6.6 99.00 99.00 99.00 999 1016.6  25.4 999.0  21.8 99.0 99.00
2017 01 07 06 50 211  6.1  6.9 99.00 99.00 99.00 999 1016.2  25.2 999.0  21.9 99.0 99.00
2017 01 07 07 50 205  8.8  9.9 99.00 99.00 99.00 999 1015.6  25.1 999.0  21.7 99.0 99.00
2017 01 07 08 50 208  8.8  9.4 99.00 99.00 99.00 999 1015.6  25.1 999.0  21.8 99.0 99.00
2017 01 07 09 50 999 99.0 99.0 99.00 99.00 99.00 999 1016.0  25.1 999.0  21.7 99.0 99.00
2017 01 07 10 50 999 99.0 99.0 99.00 99.00 99.00 999 1016.6  25.1 999.0  21.9 99.0 99.00
2017 01 07 11 50 999 99.0 99.0 99.00 99.00 99.00 999 1017.3  25.1 999.0  22.2 99.0 99.00
2017 01 07 12 50 999 99.0 99.0 99.00 99.00 99.00 999 1017.7  25.2 999.0  22.4 99.0 99.00
2017 01 07 13 50 219  6.1  7.2 99.00 99.00 99.00 999 1018.5  25.5 999.0  22.4 99.0 99.00
2017 01 07 14 50 999 99.0 99.0 99.00 99.00 99.00 999 1018.9  25.6 999.0  22.4 99.0 99.00
2017 01 07 15 50 220  4.2  7.2 99.00 99.00 99.00 999 1019.2  25.6 999.0  22.8 99.0 99.00
2017 01 07 16 50 999 99.0 99.0 99.00 99.00 99.00 999 1018.7  25.6 999.0  22.6 99.0 99.00
2017 01 07 17 50 240  7.0  8.3 99.00 99.00 99.00 999 1018.1  25.7 999.0  22.8 99.0 99.00
2017 01 07 18 50 321 10.4 12.3 99.00 99.00 99.00 999 1018.6  21.9 999.0  18.9 99.0 99.00
2017 01 07 19 50 314  7.9  9.2 99.00 99.00 99.00 999 1017.7  22.6 999.0  19.1 99.0 99.00
2017 01 07 20 50 317  9.8 11.3 99.00 99.00 99.00 999 1017.8  22.9 999.0  19.4 99.0 99.00
2017 01 07 21 50 353 15.4 18.4 99.00 99.00 99.00 999 1018.7  21.4 999.0  18.6 99.0 99.00
2017 01 07 22 50 359 12.6 15.2 99.00 99.00 99.00 999 1020.1  20.6 999.0  17.2 99.0 99.00
2017 01 07 23 50   6 13.1 14.9 99.00 99.00 99.00 999 1021.1  20.0 999.0  16.3 99.0 99.00
2017 01 08 00 50 357 14.7 17.7 99.00 99.00 99.00 999 1022.3  19.9 999.0  15.6 99.0 99.00
2017 01 08 01 50   1 14.9 18.1 99.00 99.00 99.00 999 1023.0  19.6 999.0  14.9 99.0 99.00
2017 01 08 02 50   2 14.1 16.6 99.00 99.00 99.00 999 1023.9  18.8 999.0  13.2 99.0 99.00
2017 01 08 03 50   4 13.9 16.2 99.00 99.00 99.00 999 1024.4  17.7 999.0  12.1 99.0 99.00
2017 01 08 04 50   1 14.1 16.4 99.00 99.00 99.00 999 1024.7  17.1 999.0  10.9 99.0 99.00
2017 01 08 05 50   7 13.6 15.9 99.00 99.00 99.00 999 1024.6  16.3 999.0   9.9 99.0 99.00
2017 01 08 06 50  15 13.0 16.0 99.00 99.00 99.00 999 1025.1  15.1 999.0   8.6 99.0 99.00
2017 01 08 07 50  29 13.3 16.8 99.00 99.00 99.00 999 1025.1  14.5 999.0   8.7 99.0 99.00
2017 01 08 08 50  27 13.2 16.1 99.00 99.00 99.00 999 1025.2  13.9 999.0   8.0 99.0 99.00
2017 01 08 09 50  24 14.2 16.9 99.00 99.00 99.00 999 1025.2  14.2 999.0   8.4 99.0 99.00
2017 01 08 10 50  31 14.1 17.7 99.00 99.00 99.00 999 1026.0  14.1 999.0   8.8 99.0 99.00
2017 01 08 11 50  30 14.3 18.0 99.00 99.00 99.00 999 1027.1  14.2 999.0   9.2 99.0 99.00
2017 01 08 12 50  25 14.9 17.7 99.00 99.00 99.00 999 1028.1  14.3 999.0   9.9 99.0 99.00
2017 01 08 14 50  29 14.9 17.9 99.00 99.00 99.00 999 1029.8  14.2 999.0  10.3 99.0 99.00
2017 01 08 15 50  30 14.5 18.2 99.00 99.00 99.00 999 1029.6  14.3 999.0  10.2 99.0 99.00
2017 01 08 16 50  36 14.3 17.4 99.00 99.00 99.00 999 1028.9  15.0 999.0  10.5 99.0 99.00
2017 01 08 17 50  30 13.8 16.3 99.00 99.00 99.00 999 1028.5  15.5 999.0  11.1 99.0 99.00
2017 01 08 18 50  35 12.6 14.4 99.00 99.00 99.00 999 1027.9  16.1 999.0  10.9 99.0 99.00
2017 01 08 19 50  31 12.7 14.6 99.00 99.00 99.00 999 1027.7  16.8 999.0  10.5 99.0 99.00
2017 01 08 20 50  31 12.2 14.3 99.00 99.00 99.00 999 1027.8  16.9 999.0   9.4 99.0 99.00
2017 01 08 21 50  32 11.8 13.3 99.00 99.00 99.00 999 1027.9  17.2 999.0   8.3 99.0 99.00
2017 01 08 22 50  38 10.4 13.4 99.00 99.00 99.00 999 1028.6  17.5 999.0   8.1 99.0 99.00
2017 01 08 23 50  36 12.0 14.5 99.00 99.00 99.00 999 1029.0  17.7 999.0   8.3 99.0 99.00
2017 01 09 00 50  46 13.4 15.1 99.00 99.00 99.00 999 1029.7  17.6 999.0   8.6 99.0 99.00
2017 01 09 02 50  45 14.5 17.8 99.00 99.00 99.00 999 1030.3  16.9 999.0  10.2 99.0 99.00
2017 01 09 03 50  55 13.2 15.3 99.00 99.00 99.00 999 1030.6  16.4 999.0  10.6 99.0 99.00
2017 01 09 04 50  51 13.9 15.7 99.00 99.00 99.00 999 1030.0  16.3 999.0  11.3 99.0 99.00
2017 01 09 05 50  45 13.9 16.2 99.00 99.00 99.00 999 1029.5  16.0 999.0  11.6 99.0 99.00
2017 01 09 06 50  47 12.5 14.5 99.00 99.00 99.00 999 1029.3  15.5 999.0  11.5 99.0 99.00
2017 01 09 07 50  52 12.6 14.2 99.00 99.00 99.00 999 1029.0  15.6 999.0  11.6 99.0 99.00
2017 01 09 08 50  58 11.1 13.4 99.00 99.00 99.00 999 1028.7  15.8 999.0  11.8 99.0 99.00
