YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 04 10   0  9.6 10.2 99.00 99.00 99.00 999 1020.0  20.4  24.7  17.3 99.0
1999 01 04 11   5  9.1  9.9 99.00 99.00 99.00 999 1020.7  20.1  24.7  16.2 99.0
1999 01 04 12   2  9.8 10.8 99.00 99.00 99.00 999 1021.2  19.6  24.5  16.1 99.0
1999 01 04 13   0  9.0  9.6 99.00 99.00 99.00 999 1022.4  18.9  24.5  14.8 99.0
1999 01 04 14   0 10.2 11.7 99.00 99.00 99.00 999 1023.2  18.5  24.8  14.4 99.0
1999 01 04 15 353 11.9 12.8 99.00 99.00 99.00 999 1024.2  18.2  24.8  14.3 99.0
1999 01 04 16 355 12.5 13.9 99.00 99.00 99.00 999 1024.1  17.7  24.8  13.7 99.0
1999 01 04 17 353 14.2 15.2 99.00 99.00 99.00 999 1023.6  17.0  24.8  12.6 99.0
1999 01 04 18 351 14.2 15.6 99.00 99.00 99.00 999 1022.8  16.4  24.7  12.3 99.0
1999 01 04 19   2 12.3 13.8 99.00 99.00 99.00 999 1022.5  16.2  24.6  12.1 99.0
1999 01 04 20  14 11.6 13.0 99.00 99.00 99.00 999 1022.2  14.7  24.5  11.1 99.0
1999 01 04 21  26 11.3 12.8 99.00 99.00 99.00 999 1022.8  14.0  24.0  10.2 99.0
1999 01 04 22  20 11.9 12.8 99.00 99.00 99.00 999 1023.4  13.6  23.9  10.5 99.0
1999 01 04 23  10 11.4 12.6 99.00 99.00 99.00 999 1024.0  12.9  23.9   9.9 99.0
1999 01 05 00  13 10.0 11.0 99.00 99.00 99.00 999 1024.5  12.8  23.8  10.4 99.0
1999 01 05 01  23 12.3 13.6 99.00 99.00 99.00 999 1024.5  13.4  24.0   8.7 99.0
1999 01 05 02  21 11.0 12.1 99.00 99.00 99.00 999 1024.9  13.7  24.3   8.3 99.0
1999 01 05 03  22 12.0 13.6 99.00 99.00 99.00 999 1025.9  14.3  24.3   7.2 99.0
1999 01 05 04  24 10.3 11.2 99.00 99.00 99.00 999 1025.5  13.9  24.3   9.5 99.0
1999 01 05 05   4  9.1  9.9 99.00 99.00 99.00 999 1025.4  13.9  24.2   8.4 99.0
1999 01 05 06   0  8.9  9.4 99.00 99.00 99.00 999 1025.8  13.0  24.2   9.4 99.0
1999 01 05 07  12  9.7 11.0 99.00 99.00 99.00 999 1025.5  12.5  24.2   9.6 99.0
