#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 04 00 00  87  7.6  8.0 99.00 99.00 99.00 999 1023.0  24.8  25.3 999.0 99.0 99.00
2007 01 04 01 00  89  8.6  9.3 99.00 99.00 99.00 999 1023.3  24.7  25.3 999.0 99.0 99.00
2007 01 04 02 00  92  8.1  8.9 99.00 99.00 99.00 999 1023.7  24.8  25.2 999.0 99.0 99.00
2007 01 04 03 00  93  8.3  9.4 99.00 99.00 99.00 999 1023.7  24.7  25.2 999.0 99.0 99.00
2007 01 04 04 00  88  9.4 10.1 99.00 99.00 99.00 999 1023.3  24.6  25.1 999.0 99.0 99.00
2007 01 04 05 00  94  9.9 10.8 99.00 99.00 99.00 999 1022.7  24.4  25.1 999.0 99.0 99.00
2007 01 04 06 00 105  9.4  9.8 99.00 99.00 99.00 999 1022.2  24.4  25.1 999.0 99.0 99.00
2007 01 04 07 00 104  9.2 10.3 99.00 99.00 99.00 999 1021.9  24.4  25.0 999.0 99.0 99.00
2007 01 04 08 00 110  8.8  9.8 99.00 99.00 99.00 999 1021.7  24.3  24.9 999.0 99.0 99.00
2007 01 04 09 00 107  8.6  9.2 99.00 99.00 99.00 999 1021.5  24.4  24.9 999.0 99.0 99.00
2007 01 04 10 00 112  8.5  9.4 99.00 99.00 99.00 999 1021.8  24.4  24.9 999.0 99.0 99.00
2007 01 04 11 00 107  8.4  9.2 99.00 99.00 99.00 999 1022.0  24.4  25.0 999.0 99.0 99.00
2007 01 04 12 00 106  8.5  9.0 99.00 99.00 99.00 999 1022.1  24.4  25.1 999.0 99.0 99.00
2007 01 04 13 00 101  9.0  9.4 99.00 99.00 99.00 999 1022.5  24.5  25.1 999.0 99.0 99.00
2007 01 04 14 00 109  8.4  9.2 99.00 99.00 99.00 999 1022.8  24.7  25.1 999.0 99.0 99.00
2007 01 04 15 00 112  9.3  9.8 99.00 99.00 99.00 999 1023.1  24.8  25.2 999.0 99.0 99.00
2007 01 04 16 00 118  9.7 10.2 99.00 99.00 99.00 999 1022.4  24.8  25.2 999.0 99.0 99.00
2007 01 04 17 00 118  8.9  9.6 99.00 99.00 99.00 999 1021.7  24.8  25.3 999.0 99.0 99.00
2007 01 04 18 00 122  8.4  9.2 99.00 99.00 99.00 999 1020.5  24.8  25.3 999.0 99.0 99.00
2007 01 04 19 00 115  7.9  8.8 99.00 99.00 99.00 999 1019.9  24.7  25.3 999.0 99.0 99.00
2007 01 04 20 00 113  7.8  8.9 99.00 99.00 99.00 999 1019.2  24.6  25.3 999.0 99.0 99.00
2007 01 04 21 00 118  8.2  9.6 99.00 99.00 99.00 999 1019.2  24.7  25.3 999.0 99.0 99.00
2007 01 04 22 00 112  8.1  8.6 99.00 99.00 99.00 999 1019.4  24.8  25.3 999.0 99.0 99.00
2007 01 04 23 00 113  6.4  7.5 99.00 99.00 99.00 999 1019.9  24.9  25.3 999.0 99.0 99.00
2007 01 05 00 00 103  7.8  8.5 99.00 99.00 99.00 999 1019.8  25.0  25.3 999.0 99.0 99.00
2007 01 05 01 00 107  8.2  8.9 99.00 99.00 99.00 999 1019.8  24.8  25.2 999.0 99.0 99.00
2007 01 05 02 00 103  9.8 10.8 99.00 99.00 99.00 999 1019.9  24.9  24.7 999.0 99.0 99.00
2007 01 05 03 00 110 10.3 11.0 99.00 99.00 99.00 999 1020.0  25.1  24.8 999.0 99.0 99.00
2007 01 05 04 00 109  9.7 10.6 99.00 99.00 99.00 999 1019.8  25.1  24.8 999.0 99.0 99.00
2007 01 05 05 00 111  9.9 10.4 99.00 99.00 99.00 999 1019.0  24.9  24.7 999.0 99.0 99.00
2007 01 05 06 00 117 11.1 12.1 99.00 99.00 99.00 999 1018.1  24.8  24.8 999.0 99.0 99.00
2007 01 05 07 00 117 10.7 11.5 99.00 99.00 99.00 999 1018.0  24.8  24.9 999.0 99.0 99.00
2007 01 05 08 00 132 10.3 10.8 99.00 99.00 99.00 999 1018.2  24.9  24.8 999.0 99.0 99.00
2007 01 05 09 00 127  9.7 10.6 99.00 99.00 99.00 999 1017.5  25.0  24.8 999.0 99.0 99.00
2007 01 05 10 00 128  9.5 10.5 99.00 99.00 99.00 999 1017.7  25.1  24.7 999.0 99.0 99.00
2007 01 05 11 00 132 10.7 11.3 99.00 99.00 99.00 999 1018.1  25.1  24.7 999.0 99.0 99.00
2007 01 05 12 00 129  8.8  9.6 99.00 99.00 99.00 999 1018.8  25.1  24.8 999.0 99.0 99.00
2007 01 05 13 00 131  9.9 10.9 99.00 99.00 99.00 999 1019.0  25.1  24.9 999.0 99.0 99.00
2007 01 05 14 00 137  9.5 10.3 99.00 99.00 99.00 999 1019.9  25.2  25.0 999.0 99.0 99.00
2007 01 05 15 00 134  9.5 10.5 99.00 99.00 99.00 999 1020.1  25.4  25.5 999.0 99.0 99.00
2007 01 05 16 00 136  9.6 10.2 99.00 99.00 99.00 999 1020.1  25.3  25.7 999.0 99.0 99.00
2007 01 05 17 00 132  9.4 10.3 99.00 99.00 99.00 999 1018.7  25.2  25.8 999.0 99.0 99.00
2007 01 05 18 00 141  9.5 10.3 99.00 99.00 99.00 999 1017.8  25.2  25.6 999.0 99.0 99.00
2007 01 05 19 00 139  8.5  9.1 99.00 99.00 99.00 999 1017.2  25.3  25.5 999.0 99.0 99.00
2007 01 05 20 00 132  8.1  8.5 99.00 99.00 99.00 999 1017.0  25.3  25.5 999.0 99.0 99.00
2007 01 05 21 00 136 12.8 13.6 99.00 99.00 99.00 999 1015.9  25.2  25.5 999.0 99.0 99.00
2007 01 05 22 00 138 11.4 11.8 99.00 99.00 99.00 999 1017.0  25.2  25.5 999.0 99.0 99.00
2007 01 05 23 00 138 11.7 12.3 99.00 99.00 99.00 999 1016.8  25.2  25.5 999.0 99.0 99.00
2007 01 06 00 00 141 12.7 13.6 99.00 99.00 99.00 999 1016.8  25.3  25.6 999.0 99.0 99.00
2007 01 06 01 00 141 11.1 11.6 99.00 99.00 99.00 999 1017.6  25.5  25.4 999.0 99.0 99.00
2007 01 06 02 00 143  6.6  6.9 99.00 99.00 99.00 999 1019.1  25.7  25.5 999.0 99.0 99.00
2007 01 06 03 00 143  5.2  5.7 99.00 99.00 99.00 999 1019.8  25.7  25.6 999.0 99.0 99.00
2007 01 06 04 00 135  5.1  5.5 99.00 99.00 99.00 999 1019.8  25.6  25.8 999.0 99.0 99.00
2007 01 06 05 00 126  6.1  6.7 99.00 99.00 99.00 999 1019.0  25.3  25.8 999.0 99.0 99.00
2007 01 06 06 00 135  7.5  8.2 99.00 99.00 99.00 999 1018.3  25.1  25.7 999.0 99.0 99.00
2007 01 06 07 00 130  7.0  7.4 99.00 99.00 99.00 999 1018.2  24.8  25.4 999.0 99.0 99.00
2007 01 06 08 00 127  6.9  7.4 99.00 99.00 99.00 999 1018.0  24.6  25.3 999.0 99.0 99.00
2007 01 06 09 00 136  7.1  7.6 99.00 99.00 99.00 999 1018.4  24.6  25.0 999.0 99.0 99.00
2007 01 06 10 00 144  6.9  7.6 99.00 99.00 99.00 999 1018.6  24.6  25.0 999.0 99.0 99.00
2007 01 06 11 00 138  6.7  7.3 99.00 99.00 99.00 999 1018.9  24.7  25.0 999.0 99.0 99.00
2007 01 06 12 00 141  6.2  6.7 99.00 99.00 99.00 999 1019.4  24.6  25.2 999.0 99.0 99.00
2007 01 06 13 00 140  5.9  6.5 99.00 99.00 99.00 999 1020.1  24.7  25.2 999.0 99.0 99.00
2007 01 06 14 00 138  6.4  6.7 99.00 99.00 99.00 999 1020.8  25.0  25.2 999.0 99.0 99.00
2007 01 06 15 00 124  5.9  6.3 99.00 99.00 99.00 999 1021.2  25.0  25.4 999.0 99.0 99.00
2007 01 06 16 00 143  5.6  6.1 99.00 99.00 99.00 999 1020.9  25.1  25.6 999.0 99.0 99.00
2007 01 06 17 00 140  5.1  5.5 99.00 99.00 99.00 999 1019.8  25.0  25.8 999.0 99.0 99.00
2007 01 06 18 00 142  4.3  4.8 99.00 99.00 99.00 999 1018.8  24.9  25.8 999.0 99.0 99.00
2007 01 06 19 00 123  3.7  3.9 99.00 99.00 99.00 999 1018.3  24.9  25.6 999.0 99.0 99.00
2007 01 06 20 00 125  3.2  3.5 99.00 99.00 99.00 999 1018.3  24.9  25.6 999.0 99.0 99.00
