#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 03 22 00  17 12.8 13.8 99.00 99.00 99.00 999 1018.8  20.4  25.2 999.0 99.0 99.00
2014 01 03 23 00  35 12.0 16.1 99.00 99.00 99.00 999 1019.5  20.7  25.3 999.0 99.0 99.00
2014 01 04 00 00  30 10.3 11.5 99.00 99.00 99.00 999 1020.3  20.6  25.5 999.0 99.0 99.00
2014 01 04 01 00  44 11.8 13.3 99.00 99.00 99.00 999 1020.5  20.5  25.3 999.0 99.0 99.00
2014 01 04 02 00  51 12.0 13.6 99.00 99.00 99.00 999 1021.0  20.4  25.5 999.0 99.0 99.00
2014 01 04 03 00  46 11.1 12.1 99.00 99.00 99.00 999 1021.4  20.4  25.4 999.0 99.0 99.00
2014 01 04 04 00  55  9.9 11.1 99.00 99.00 99.00 999 1021.5  20.6  25.4 999.0 99.0 99.00
2014 01 04 05 00  65  9.9 11.6 99.00 99.00 99.00 999 1020.6  20.8  25.2 999.0 99.0 99.00
2014 01 04 06 00  61 11.7 12.5 99.00 99.00 99.00 999 1020.1  20.9  25.1 999.0 99.0 99.00
2014 01 04 07 00  75 10.2 11.3 99.00 99.00 99.00 999 1020.0  20.8  25.2 999.0 99.0 99.00
2014 01 04 08 00  77 10.8 11.6 99.00 99.00 99.00 999 1019.3  21.1  24.9 999.0 99.0 99.00
2014 01 04 09 00  80 10.6 11.1 99.00 99.00 99.00 999 1019.4  21.5  24.6 999.0 99.0 99.00
2014 01 04 10 00  82  8.4  9.8 99.00 99.00 99.00 999 1019.4  21.8  25.2 999.0 99.0 99.00
2014 01 04 11 00  84  8.6  9.4 99.00 99.00 99.00 999 1019.1  22.0  25.3 999.0 99.0 99.00
2014 01 04 12 00  86  9.4 10.4 99.00 99.00 99.00 999 1019.5  22.2  25.4 999.0 99.0 99.00
2014 01 04 13 00  82  9.4 10.7 99.00 99.00 99.00 999 1020.2  22.6  25.3 999.0 99.0 99.00
2014 01 04 14 00  80 10.2 10.7 99.00 99.00 99.00 999 1020.6  22.6  25.3 999.0 99.0 99.00
2014 01 04 15 00  85  9.5 10.3 99.00 99.00 99.00 999 1021.4  22.8  25.2 999.0 99.0 99.00
2014 01 04 16 00  85  8.8  9.5 99.00 99.00 99.00 999 1021.1  23.0  25.2 999.0 99.0 99.00
2014 01 04 17 00  84  7.9  8.3 99.00 99.00 99.00 999 1020.4  22.7  25.2 999.0 99.0 99.00
2014 01 04 18 00  98  8.5  9.1 99.00 99.00 99.00 999 1019.3  23.1  25.2 999.0 99.0 99.00
2014 01 04 19 00  83  7.8  8.2 99.00 99.00 99.00 999 1018.6  23.5  25.2 999.0 99.0 99.00
2014 01 04 20 00  78  7.4  7.9 99.00 99.00 99.00 999 1018.2  23.8  25.1 999.0 99.0 99.00
2014 01 04 21 00  66  7.7  8.3 99.00 99.00 99.00 999 1018.0  24.0  25.1 999.0 99.0 99.00
2014 01 04 22 00  65  8.6  9.3 99.00 99.00 99.00 999 1018.3  23.9  25.1 999.0 99.0 99.00
2014 01 04 23 00  71  8.5  9.0 99.00 99.00 99.00 999 1018.8  24.0  25.1 999.0 99.0 99.00
2014 01 05 00 00  60  7.6  8.2 99.00 99.00 99.00 999 1019.2  24.2  24.7 999.0 99.0 99.00
2014 01 05 01 00  64  8.1  8.9 99.00 99.00 99.00 999 1019.4  24.2  24.1 999.0 99.0 99.00
2014 01 05 02 00  82 10.0 10.5 99.00 99.00 99.00 999 1019.1  24.3  24.6 999.0 99.0 99.00
2014 01 05 03 00  79  9.9 11.0 99.00 99.00 99.00 999 1019.2  24.4  24.9 999.0 99.0 99.00
2014 01 05 04 00  93  9.1  9.9 99.00 99.00 99.00 999 1019.1  24.1  25.0 999.0 99.0 99.00
2014 01 05 05 00  89  6.5  7.0 99.00 99.00 99.00 999 1018.6  24.0  25.0 999.0 99.0 99.00
2014 01 05 06 00 104  7.3  7.7 99.00 99.00 99.00 999 1017.6  23.7  25.0 999.0 99.0 99.00
2014 01 05 07 00 116  8.5  9.2 99.00 99.00 99.00 999 1017.1  24.5  24.9 999.0 99.0 99.00
2014 01 05 08 00 106  9.6 10.2 99.00 99.00 99.00 999 1016.5  24.7  24.8 999.0 99.0 99.00
2014 01 05 09 00 111  9.9 10.5 99.00 99.00 99.00 999 1015.5  24.7  24.6 999.0 99.0 99.00
2014 01 05 10 00 121 10.3 11.4 99.00 99.00 99.00 999 1015.3  24.5  24.6 999.0 99.0 99.00
2014 01 05 11 00 127 11.0 12.6 99.00 99.00 99.00 999 1015.1  24.7  24.8 999.0 99.0 99.00
2014 01 05 12 00 128 15.2 16.0 99.00 99.00 99.00 999 1014.8  25.0  24.6 999.0 99.0 99.00
2014 01 05 13 00 131 13.3 14.3 99.00 99.00 99.00 999 1015.8  25.2  24.8 999.0 99.0 99.00
2014 01 05 14 00 137 10.0 10.9 99.00 99.00 99.00 999 1017.0  25.6  24.9 999.0 99.0 99.00
2014 01 05 15 00 147 10.1 10.9 99.00 99.00 99.00 999 1017.5  25.8  24.9 999.0 99.0 99.00
2014 01 05 16 00 143  9.6 10.4 99.00 99.00 99.00 999 1016.7  25.7  24.9 999.0 99.0 99.00
2014 01 05 17 00 153  9.1  9.5 99.00 99.00 99.00 999 1016.5  25.9  25.0 999.0 99.0 99.00
2014 01 05 18 00 167  9.1 10.1 99.00 99.00 99.00 999 1015.6  25.5  25.0 999.0 99.0 99.00
2014 01 05 19 00 160 10.3 11.2 99.00 99.00 99.00 999 1015.1  25.5  25.1 999.0 99.0 99.00
2014 01 05 20 00 205 12.8 13.5 99.00 99.00 99.00 999 1015.2  21.9  25.0 999.0 99.0 99.00
2014 01 05 21 00 204  5.8  6.5 99.00 99.00 99.00 999 1015.2  23.4  24.9 999.0 99.0 99.00
2014 01 05 22 00 238  4.4  5.0 99.00 99.00 99.00 999 1015.8  22.5  24.8 999.0 99.0 99.00
2014 01 05 23 00 227  4.2  4.6 99.00 99.00 99.00 999 1015.9  22.9  24.9 999.0 99.0 99.00
2014 01 06 00 00 184  2.3  2.6 99.00 99.00 99.00 999 1016.5  23.2  24.9 999.0 99.0 99.00
2014 01 06 01 00 187  1.6  1.7 99.00 99.00 99.00 999 1016.9  23.3  24.9 999.0 99.0 99.00
2014 01 06 02 00 168  1.5  1.7 99.00 99.00 99.00 999 1017.1  23.7  24.9 999.0 99.0 99.00
2014 01 06 03 00 167  2.6  2.8 99.00 99.00 99.00 999 1017.1  24.0  25.0 999.0 99.0 99.00
2014 01 06 04 00 165  3.3  3.6 99.00 99.00 99.00 999 1016.7  24.2  25.0 999.0 99.0 99.00
2014 01 06 05 00 167  3.3  3.8 99.00 99.00 99.00 999 1016.2  24.3  25.0 999.0 99.0 99.00
2014 01 06 06 00 191  3.8  4.2 99.00 99.00 99.00 999 1016.0  24.3  25.1 999.0 99.0 99.00
2014 01 06 07 00 191  3.7  3.8 99.00 99.00 99.00 999 1015.9  24.3  25.1 999.0 99.0 99.00
2014 01 06 08 00 201  3.7  3.9 99.00 99.00 99.00 999 1015.6  23.9  25.1 999.0 99.0 99.00
2014 01 06 09 00 185  3.3  3.6 99.00 99.00 99.00 999 1015.8  23.7  25.0 999.0 99.0 99.00
2014 01 06 10 00 204  4.0  4.3 99.00 99.00 99.00 999 1015.7  23.6  25.0 999.0 99.0 99.00
2014 01 06 11 00 235  3.1  3.5 99.00 99.00 99.00 999 1016.0  23.2  25.0 999.0 99.0 99.00
2014 01 06 12 00 232  3.5  3.8 99.00 99.00 99.00 999 1016.7  23.0  25.0 999.0 99.0 99.00
2014 01 06 13 00 217  3.3  3.7 99.00 99.00 99.00 999 1017.5  23.1  25.0 999.0 99.0 99.00
2014 01 06 14 00 223  3.1  3.4 99.00 99.00 99.00 999 1018.2  24.5  25.1 999.0 99.0 99.00
2014 01 06 15 00 201  3.3  3.7 99.00 99.00 99.00 999 1018.4  24.9  25.1 999.0 99.0 99.00
2014 01 06 16 00 197  3.3  3.9 99.00 99.00 99.00 999 1017.9  24.7  25.2 999.0 99.0 99.00
2014 01 06 17 00 192  3.2  3.7 99.00 99.00 99.00 999 1016.9  25.0  25.2 999.0 99.0 99.00
2014 01 06 18 00 176  4.4  4.7 99.00 99.00 99.00 999 1015.9  25.8  25.2 999.0 99.0 99.00
2014 01 06 19 00 184  3.6  4.3 99.00 99.00 99.00 999 1015.5  25.8  25.2 999.0 99.0 99.00
